Sno,Candidate∇,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
['PC Name', 'No', 'Type', 'State', 'Winning Candidate', 'Party', 'Electors', 'Votes', 'Turnout', 'Margin', 'Margin %']
['Saran', '20', 'GEN', 'Bihar [2000 Onwards]', 'Lalu Prasad', 'Rashtriya Janata Dal', '1268338', '580830', '45.8 %', '51815', '8.9%']
458,SONIA GANDHI,Sitamarhi,INC,0,Others,"Rs 1,37,94,768",Rs 0
['Sarguja', '1', 'ST', 'Chhattisgarh', 'Murarilal Singh', 'Bharatiya Janta Party', '1306822', '805197', '61.6 %', '159548', '19.8%']
462,SUBHASH BAPURAO WANKHEDE,Solapur,SHS,4,10th Pass,"Rs 34,88,000","Rs 4,84,000"
['Secundrabad', '8', 'GEN', 'Andhra Pradesh', 'Anjan Kumar Yadav M', 'Indian National Congress', '1574818', '865489', '55.0 %', '170167', '19.7%']
486,Tathagata Satpathy,Tiruchirappalli,BJD,13,12th Pass,"Rs 55,15,930",Rs 0
['Srerampur', '27', 'GEN', 'West Bengal', 'Kalyan Banerjee', 'All India Trinamool Congress', '1395570', '1081979', '77.5 %', '137190', '12.7%']
502,VIJAY BAHUGUNA,Unnao,INC,0,Graduate Professional,"Rs 1,35,01,773",Rs 0
['Thiruvallur', '1', 'SC', 'Tamil Nadu', 'Venugopal.P', 'All India Anna Dravida Munnetra Kazhagam', '1204209', '850021', '70.6 %', '31673', '3.7%']
512,Vishu Deo Sai,Vijayawada,BJP,0,10th Pass,"Rs 23,02,000",Rs 0
['Tonk-Sawai Madhopur', '12', 'GEN', 'Rajasthan', 'Namo Narain', 'Indian National Congress', '1510047', '802459', '53.1 %', '317', '0.0%']
