Sno,Candidate∇,Adilabad,Party,Criminal Case,Education,Total Assets,Liabilities
1,A.T. NANA PATIL,Agra,BJP,0,Graduate,"Rs 10,38,39,607","Rs 92,00,000"
2,AARON RASHID.J.M,Ahmedabad East,INC,0,12th Pass,"Rs 24,89,74,573","Rs 21,91,815"
3,AAWALE JAYWANT GANGARAM,Ahmedabad West,INC,1,10th Pass,"Rs 3,04,85,766",Rs 0
4,ABDUL MANNAN HOSSAIN,Ahmednagar,INC,1,Graduate,"Rs 17,09,788","Rs 10,06,391"
5,ABDUL RAHMAN,Ajmer,DMK,0,Graduate,"Rs 1,25,47,128","Rs 32,97,328"
6,Abu Hasem Khan Choudhury,Akbarpur,INC,0,Doctorate,"Rs 87,82,797",Rs 0
7,Acharia Basudeb,Akola,CPM,0,Post Graduate,"Rs 32,49,037",Rs 0
8,AD.KAMAT GURUDAS VASANT,Alappuzha,INC,0,Graduate Professional,"Rs 6,39,26,963",Rs 0
9,ADAGUR H. VISWANATH,Alathur,INC,0,Graduate Professional,"Rs 2,82,91,172","Rs 73,67,061"
10,ADHALRAO SHIVAJI DATTATRAY,Aligarh,SHS,4,Post Graduate,"Rs 12,71,13,134","Rs 1,62,21,275"
11,ADHIKARI SISIR KUMAR,Alipurduars,AITC,1,12th Pass,"Rs 10,83,159",Rs 0
12,ADHIKARI SUVENDU,Allahabad,AITC,3,Graduate,"Rs 47,51,934",Rs 0
13,ADHIR RANJAN CHOWDHURY,Almora,INC,4,10th Pass,"Rs 2,99,43,557","Rs 19,26,083"
14,ADITYA NATH,Alwar,BJP,2,Graduate,"Rs 21,82,212",Rs 0
15,ADSUL ANANDRAO VITHOBA,Amalapuram,SHS,1,Graduate,"Rs 1,77,08,418",Rs 0
16,Adv A Sampath,Ambala,CPM,2,Post Graduate,"Rs 89,99,000","Rs 21,50,029"
17,Adv P T Thomas,Ambedkar Nagar,INC,0,Post Graduate,"Rs 39,84,094","Rs 4,48,284"
18,ADV. DUDHGAONKAR GANESHRAO NAGORAO,Amethi,SHS,0,Graduate Professional,"Rs 2,81,11,720",Rs 0
19,AGATHA K. SANGMA,Amravati,NCP,0,Post Graduate,"Rs 66,44,295",Rs 0
20,AHIR HANSARAJ GANGARAM,Amreli,BJP,30,10th Pass,"Rs 80,84,050","Rs 2,62,243"
21,AJAY MAKAN,Amritsar,INC,1,Post Graduate,"Rs 4,01,48,040","Rs 97,120"
22,AJIT SINGH,Amroha,RLD,0,Post Graduate,"Rs 5,82,32,462","Rs 13,077"
23,AKHILESH YADAV,Anakapalle,SP,0,Graduate Professional,"Rs 4,85,82,202","Rs 77,26,354"
24,AKHILESH YADAV,Anandpur Sahib,SP,0,Graduate Professional,"Rs 4,44,09,557","Rs 77,26,354"
25,ALAGIRI M.K,Anantapur,DMK,0,Graduate,"Rs 19,39,78,895",Rs 0
26,ALAGIRI S,Anantnag,INC,0,Graduate,"Rs 1,18,66,846","Rs 7,81,36,525"
27,Amarnath Pradhan,Andaman & Nicobar Islands,INC,0,Graduate,"Rs 43,25,000","Rs 4,66,494"
28,AMBICA BANERJEE,Aonla,AITC,1,Graduate Professional,"Rs 6,29,26,674","Rs 72,33,333"
29,ANAND PRAKASH PARANJAPE,Arakkonam,SHS,1,Post Graduate,"Rs 1,19,98,220","Rs 38,71,225"
30,ANANDAN M,Araku,ADMK,0,12th Pass,"Rs 89,38,646","Rs 9,67,994"
31,ANANT GEETE,Arambag,SHS,1,10th Pass,"Rs 85,55,617",Rs 0
32,Ananth Kumar,Arani,BJP,0,Graduate Professional,"Rs 1,22,06,366",Rs 0
33,ANANTHA VENKATA RAMI REDDY,Araria,INC,0,Post Graduate,"Rs 1,30,15,000",Rs 0
34,Ananthkumar Hegde,Arrah,BJP,3,12th Pass,"Rs 64,27,192","Rs 39,55,458"
35,Angadi Suresh Channabasappa,Arunachal East,BJP,2,Graduate Professional,"Rs 22,17,34,263","Rs 4,33,92,842"
36,ANJAN KUMAR YADAV,Arunachal West,INC,0,12th Pass,"Rs 2,06,20,697","Rs 15,00,000"
37,ANNAYYAGARI SAI PRATHAP,Asansol,INC,0,12th Pass,"Rs 62,33,245","Rs 6,05,031"
38,ANNUTANDON,Aska,INC,1,Graduate,"Rs 42,13,52,753",Rs 0
39,Anto Antony,Attingal,INC,0,Graduate,"Rs 14,24,205","Rs 17,06,713"
40,ANUP KUMAR SAHA,Aurangabad,CPM,0,Post Graduate,"Rs 74,72,944",Rs 0
41,ANURAG SINGH THAKUR,Aurangabad,BJP,0,Graduate,"Rs 2,41,50,103","Rs 25,04,550"
42,Arjun Charan Sethi,Autonomous District,BJD,0,Post Graduate,"Rs 1,10,61,000","Rs 25,00,000"
43,ARJUN MUNDA,Azamgarh,BJP,2,Graduate Professional,"Rs 1,23,84,895","Rs 1,76,069"
44,ARJUN RAM MEGHWAL,Badaun,BJP,0,Post Graduate,"Rs 25,63,467",Rs 0
45,ARJUN ROY,Bagalkot,JD(U),0,Doctorate,"Rs 29,07,146","Rs 4,62,913"
46,ARUN SUBHASHCHANDRA YADAV,Baghpat,INC,1,Graduate,"Rs 5,32,89,688","Rs 2,75,62,966"
47,ARVIND KUMAR CHAUDHARY,Baharampur,BSP,0,12th Pass,"Rs 1,86,43,936",Rs 0
48,ARVIND KUMAR SHARMA,Bahraich,INC,0,Post Graduate,"Rs 1,90,71,256",Rs 0
49,Asaduddin Owaisi,Balasore,AIMIM,4,Graduate Professional,"Rs 93,02,233",Rs 0
50,ASHOK ARGAL,Ballia,BJP,4,12th Pass,"Rs 79,72,241","Rs 1,00,000"
51,ASHOK KUMAR RAWAT,Balurghat,BSP,0,Post Graduate,"Rs 62,21,049","Rs 6,65,426"
52,ASHOK TANWAR,Banaskantha,INC,2,Post Graduate,"Rs 2,36,64,959",Rs 0
53,ASWAMEDH DEVI,Banda,JD(U),0,5th Pass,"Rs 1,05,36,274","Rs 3,41,141"
54,AVTAR SINGH BHADANA,Bangalore Central,INC,1,8th Pass,"Rs 4,05,73,585",Rs 0
55,B. JHANSI,Bangalore North,INC,1,Post Graduate,"Rs 2,29,51,539",Rs 0
56,B.Y. RAGHAVENDRA,Bangalore Rural,BJP,0,Graduate Professional,"Rs 6,62,73,401","Rs 42,34,969"
57,BAALU T R,Bangalore South,DMK,0,Graduate,"Rs 7,69,71,478",Rs 0
58,BABAR GAJANAN DHARMSHI,Bangaon,SHS,7,Literate,"Rs 6,78,31,434",Rs 0
59,Babu Lal Marandi,Bankura,JVM(P),1,Graduate,"Rs 21,37,675",Rs 0
60,BADRI RAM,Banswara,INC,1,Literate,"Rs 6,02,43,814","Rs 4,98,169"
61,BADRUDDIN AJMAL,Bapatla,AUDF,0,Literate,"Rs 30,35,20,991",Rs 0
62,BAIDYANATH PRASAD MAHTO,Barabanki,JD(U),1,10th Pass,"Rs 44,28,802","Rs 5,20,445"
63,Baijayant Panda,Baramati,BJD,0,Graduate Professional,"Rs 16,11,00,792","Rs 4,51,767"
64,BAJU BAN RIYAN,Baramulla,CPM,0,Graduate,"Rs 36,95,981",Rs 0
65,BAL KUMAR PATEL,Barasat,SP,10,12th Pass,"Rs 2,29,78,000","Rs 1,16,95,272"
66,Baliram Kashyap,Bardhaman Purba,BJP,0,8th Pass,"Rs 99,48,590","Rs 11,66,014"
67,BALKRISHNA KHANDERAO SHUKLA,Bardhaman-Durgapur,BJP,1,Graduate,"Rs 26,62,058","Rs 2,16,512"
68,BANSAGOPAL CHOWDHURY,Bareilly,CPM,0,Graduate,"Rs 14,23,763",Rs 0
69,BAPIRAJU KANUMURU,Bargarh,INC,0,10th Pass,"Rs 3,05,74,013","Rs 38,12,438"
70,BASORI SINGH MASRAM,Barmer,INC,0,8th Pass,"Rs 36,21,178","Rs 3,50,000"
71,BENI PRASAD VERMA,Barpeta,INC,0,Graduate Professional,"Rs 2,01,83,574","Rs 80,932"
72,BHAJAN LAL,Barrackpur,HJC(BL),0,12th Pass,"Rs 6,51,13,381","Rs 73,54,075"
73,Bhakta Charan Das,Basirhat,INC,4,Graduate Professional,"Rs 55,82,100","Rs 20,61,217"
74,BHARAT RAM MEGHWAL,Bastar,INC,0,Graduate Professional,"Rs 50,16,000","Rs 4,00,000"
75,Bhartruhari Mahtab,Basti,BJD,0,Post Graduate,"Rs 5,07,93,831",Rs 0
76,BHAVANA GAWALI (PATIL),Bathinda,SHS,1,Graduate,"Rs 3,03,99,471","Rs 24,30,911"
77,BHISMA SHANKAR ALIAS KUSHAL TIWARI,Beed,BSP,0,12th Pass,"Rs 3,19,26,944","Rs 11,25,920"
78,BholaSingh,Begusarai,BJP,0,Doctorate,"Rs 38,93,000","Rs 3,60,000"
79,BHONSLE SHRIMANT CHH. UDYANRAJE PRATAPSINH,Belgaum,NCP,14,Others,"Rs 11,72,53,344","Rs 18,00,000"
80,BHUDEO CHOUDHARY,Bellary,JD(U),0,Graduate Professional,"Rs 40,79,000","Rs 2,89,192"
81,Bibhu Prasad Tarai,Berhampur,CPI,0,Post Graduate,"Rs 44,60,251","Rs 43,000"
82,BIJOY KRISHNA HANDIQUE,Betul,INC,0,Post Graduate,"Rs 1,54,28,123",Rs 0
83,BIJOYA CHAKRAVARTY,Bhadohi,BJP,0,Post Graduate,"Rs 18,70,000",Rs 0
84,BIREN SINGH ENGTI,Bhadrak,INC,0,Post Graduate,"Rs 2,52,97,068",Rs 0
85,BRIJBHUSHAN SARAN SINGH,Bhagalpur,SP,2,Graduate Professional,"Rs 5,35,37,885",Rs 0
86,C P JOSHI,Bharatpur,INC,0,Doctorate,"Rs 2,03,76,956","Rs 14,00,000"
87,C.L.RUALA,Bharuch,INC,0,Graduate Professional,"Rs 53,54,186",Rs 0
88,CAPTAIN JAI NARAYAN PRASAD NISHAD,Bhavnagar,JD(U),0,12th Pass,"Rs 1,51,48,831","Rs 43,37,141"
89,CH. LAL SINGH,Bhilwara,INC,0,Graduate,"Rs 17,62,378","Rs 26,50,000"
90,CHANDRAKANT KHAIRE,Bhind,SHS,16,12th Pass,"Rs 1,41,51,539","Rs 14,72,122"
91,CHANDRAKANT RAGHUNATH PATIL,Bhiwandi,BJP,6,10th Pass,"Rs 24,20,83,697","Rs 4,22,08,512"
92,CHANDRESH KUMARI,Bhiwani-Mahendragarh,INC,0,12th Pass,"Rs 13,28,81,067","Rs 60,744"
93,Chandulal Sahu (Chandu Bhaiya),Bhongir,BJP,0,Graduate Professional,"Rs 68,05,000","Rs 13,00,000"
94,Charandas Mahant,Bhopal,INC,0,Doctorate,"Rs 4,27,04,354","Rs 16,43,424"
95,CHAVAN HARISHCHANDRA DEORAM,Bhubaneswar,BJP,1,Graduate,"Rs 85,15,581","Rs 15,20,114"
96,CHIDAMBARAM P,Bidar,INC,0,Post Graduate,"Rs 26,79,08,542",Rs 0
97,Chinta Mohan,Bijapur,INC,0,Graduate Professional,"Rs 55,12,900","Rs 5,57,719"
98,CHITTHAN N S V,Bijnor,INC,0,Graduate,"Rs 1,70,35,764",Rs 0
99,CHOUDHURY MOHAN JATUA,Bikaner,AITC,0,Post Graduate,"Rs 25,85,000",Rs 0
100,COSME FRANCISCO CAITANO SARDINHA,Birbhum,INC,0,Graduate Professional,"Rs 2,94,73,470","Rs 4,43,500"
101,D. PURANDARESHWARI,Bishnupur,INC,0,Graduate,"Rs 20,26,39,034","Rs 5,60,000"
102,D.B. Chandre Gowda,Bolangir,BJP,0,Graduate Professional,"Rs 2,08,40,751",Rs 0
103,D.V.Sadananda Gowda,Bolpur,BJP,0,Graduate Professional,"Rs 1,43,75,959","Rs 24,86,447"
104,DANVE RAOSAHEB DADARAO,Bulandshahr,BJP,3,12th Pass,"Rs 2,42,71,518","Rs 5,30,771"
105,DARA SINGH CHAUHAN,Buldhana,BSP,2,10th Pass,"Rs 20,44,115","Rs 9,27,848"
106,DARSNABEN VIKRAMBHAI JARDOS,Buxar,BJP,1,Graduate,"Rs 90,21,338","Rs 3,95,000"
107,DATTA MEGHE,Chalakudy,INC,0,Graduate,"Rs 28,77,39,495","Rs 7,00,08,871"
108,Deepa Dasmunsi,Chamarajanagar,INC,0,Post Graduate,"Rs 1,25,14,145",Rs 0
109,DEEPENDER SINGH,Chandauli,INC,0,Post Graduate,"Rs 6,53,67,032",Rs 0
110,DEORA MILIND MURLI,Chandigarh,INC,0,Graduate Professional,"Rs 17,53,73,142",Rs 0
111,DEORAJ SINGH PATEL,Chandni Chowk,BSP,0,Post Graduate,"Rs 3,08,45,000","Rs 49,61,271"
112,DEV JI PATEL,Chandrapur,BJP,0,10th Pass,"Rs 1,12,61,830",Rs 0
113,DEVENDRA NAGPAL,Chatra,RLD,6,Graduate,"Rs 13,24,25,712","Rs 1,39,60,788"
114,DEVIDHAN BESRA,Chennai South,BJP,0,10th Pass,"Rs 48,28,559",Rs 0
115,DHANANJAY SINGH,Chevella,BSP,1,Post Graduate,"Rs 43,62,656","Rs 6,78,982"
116,DHARMENDRA YADAV,Chhota Udaipur,SP,0,Post Graduate,"Rs 56,82,299","Rs 98,000"
117,DHOTRE SANJAY SHAMRAO,Chidambaram,BJP,4,Graduate Professional,"Rs 1,93,35,144","Rs 22,21,980"
118,DINESH CHANDRA YADAV,Chikkballapur,JD(U),0,Others,"Rs 63,05,253","Rs 15,922"
119,DINESH TRIVEDI,Chikkodi,AITC,0,Post Graduate,"Rs 2,72,03,930",Rs 0
120,DINSHA ZAVARBHAI PATEL,Chitradurga,INC,0,10th Pass,"Rs 2,30,65,019","Rs 34,80,352"
121,DINUBHAI BOGHABHAI SOLANKI,Chittoor,BJP,1,Graduate,"Rs 1,94,60,865","Rs 59,45,896"
122,DIP GOGOI,Chittorgarh,INC,0,Graduate,"Rs 25,39,058",Rs 0
123,DR JYOTI MIRDHA,Churu,INC,0,Graduate Professional,"Rs 3,90,39,915",Rs 0
124,DR. BALIRAM,Coimbatore,BSP,0,Doctorate,"Rs 80,03,036","Rs 6,38,922"
125,Dr. G. Vivekanand,Constituency,INC,0,Graduate Professional,"Rs 72,95,09,675",Rs 0
126,Dr. Manda Jagannath,Coochbehar,INC,0,Post Graduate,"Rs 2,81,26,000","Rs 31,23,000"
127,DR. MONAZIR HASSAN,Cuddalore,JD(U),0,Doctorate,"Rs 35,83,898","Rs 16,82,852"
128,DR. MURLI MANOHAR JOSHI,Cuttack,BJP,1,Doctorate,"Rs 5,44,75,345",Rs 0
129,DR. RAJAN SUSHANT,Dadra & Nagar Haveli,BJP,0,Graduate Professional,"Rs 1,10,24,873","Rs 24,88,285"
130,DR. RAMSHANKAR,Dahod,BJP,0,Doctorate,"Rs 15,11,000","Rs 6,39,959"
131,DR. RATTAN SINGH AJNALA,Dakshina Kannada,SAD,1,Graduate Professional,"Rs 1,87,74,102",Rs 0
132,DR. SANJAY JAISWAL,Daman & Diu,BJP,2,Post Graduate,"Rs 1,09,50,474","Rs 11,69,173"
133,DR. SHAFIQUR RAHMAN BARQ,Damoh,BSP,0,Graduate,"Rs 70,59,763",Rs 0
134,DR. TARUN MONDAL,Darbhanga,IND,0,Graduate Professional,"Rs 18,56,636","Rs 5,600"
135,DR. THOKCHOM MEINYA,Darjeeling,INC,0,Doctorate,"Rs 16,39,200",Rs 0
136,DR.NILESH NARAYAN RANE,Dausa,INC,1,Doctorate,"Rs 3,05,61,862",Rs 0
137,DR.SANJAY SINGH,Davanagere,INC,0,Doctorate,"Rs 6,22,59,720",Rs 0
138,DR.SANJEEV GANESH NAIK,Deoria,NCP,2,12th Pass,"Rs 3,04,15,344",Rs 0
139,DUSHYANT SINGH,Dewas,BJP,0,Post Graduate,"Rs 6,41,10,900","Rs 27,79,153"
140,DUTT PRIYA SUNIL,Dhanbad,INC,0,Graduate,"Rs 34,95,76,448","Rs 1,47,511"
141,E Ahamed,Dhar,MUL,0,Post Graduate,"Rs 38,87,709",Rs 0
142,E T Mohamed Basheer,Dharmapuri,MUL,0,10th Pass,"Rs 6,05,855",Rs 0
143,EKNATH M. GAIKWAD,Dharwad,INC,0,10th Pass,"Rs 21,95,416",Rs 0
144,FAROOQ ABDULLAH,Dhaurahra,JKN,0,Graduate Professional,"Rs 9,78,41,140",Rs 0
145,FEROZE VARUN GANDHI,Dhenkanal,BJP,6,Graduate,"Rs 4,92,67,810",Rs 0
146,G V Harsha Kumar,Dhubri,INC,1,Post Graduate,"Rs 72,89,000","Rs 10,14,298"
147,G.S. BASAVARAJU,Dhule,BJP,0,Graduate Professional,"Rs 5,43,82,029","Rs 87,61,621"
148,GADDIGOUDAR P C,Diamond Harbour,BJP,0,Graduate Professional,"Rs 1,67,62,000","Rs 66,74,134"
149,GAJENDRASINGH RAJUKHEDI,Dibrugarh,INC,0,Graduate Professional,"Rs 2,06,53,466",Rs 0
150,GANDHI DILIPKUMAR MANSUKHLAL,Dindigul,BJP,9,10th Pass,"Rs 1,30,53,391","Rs 9,55,351"
151,GANDHISELVAN.S,Dindori,DMK,2,Post Graduate,"Rs 40,70,482",Rs 0
152,GANESH SINGH,Domariyaganj,BJP,3,Post Graduate,"Rs 73,72,032","Rs 16,585"
153,GANESHAMURTHI.A.,Dum Dum,MDMK,1,Graduate,"Rs 2,67,29,518","Rs 10,85,323"
154,GAVIT MANIKRAO HODLYA,Dumka,INC,0,5th Pass,"Rs 4,10,64,753",Rs 0
155,GHANSYAM ANURAGI,Durg,SP,2,Post Graduate,"Rs 63,50,833",Rs 0
156,GIRIJA VYAS,East Delhi,INC,1,Doctorate,"Rs 87,21,354",Rs 0
157,GOBINDA CHANDRA NASKAR,Eluru,AITC,0,Post Graduate,"Rs 25,49,515",Rs 0
158,GOPAL SINGH,Ernakulam,INC,0,Graduate Professional,"Rs 41,06,255","Rs 4,89,648"
159,GORAKH PRASAD JAISWAL,Erode,BSP,0,10th Pass,"Rs 2,42,17,040",Rs 0
160,GORAKHNATH,Etawah,BSP,0,Post Graduate,"Rs 1,01,58,748","Rs 4,33,968"
161,GOVIND PRASAD MISHRA,Faizabad,BJP,0,Graduate Professional,"Rs 51,87,425",Rs 0
162,GUDDU PREMCHAND,Faridabad,INC,3,5th Pass,"Rs 10,50,31,313","Rs 15,00,000"
163,Gurudas Dasgupta,Faridkot,CPI,0,Post Graduate,"Rs 36,54,001",Rs 0
164,Gutha Sukender Reddy,Farrukhabad,INC,0,12th Pass,"Rs 1,60,40,830","Rs 1,66,62,997"
165,H D KUMARA SWAMY,Fatehgarh Sahib,JD(S),3,Graduate,"Rs 49,16,83,477","Rs 33,62,37,223"
166,H. D. Devegowda,Fatehpur,JD(S),0,Others,"Rs 1,96,24,664","Rs 64,99,000"
167,Hari Manjhi,Fatehpur Sikri,BJP,0,8th Pass,"Rs 14,71,374","Rs 3,89,075"
168,HARIBHAU MADHAV JAWALE,Firozabad,BJP,0,Graduate,"Rs 78,42,881","Rs 6,29,917"
169,HARIN PATHAK,Firozpur,BJP,2,Post Graduate,"Rs 1,45,78,184","Rs 22,734"
170,Harish choudhary,Gadchiroli-Chimur,INC,0,Graduate,"Rs 49,53,849","Rs 12,95,812"
171,HARISH RAWAT,Gandhinagar,INC,1,Graduate Professional,"Rs 1,18,25,335",Rs 0
172,HARSIMRAT KAUR,Ganganagar,SAD,0,10th Pass,"Rs 60,31,00,135","Rs 13,800"
173,HASSAN KHAN,Garhwal,IND,0,Graduate,"Rs 60,65,000",Rs 0
174,HELEN DAVIDSON J,Gauhati,DMK,0,Post Graduate,"Rs 4,84,55,728","Rs 21,23,538"
175,HEMANAND BISWAL,Gautam Budhha Nagar,INC,0,12th Pass,"Rs 39,65,226",Rs 0
176,HUKM DEO NARAYAN YADAV,Gaya,BJP,0,Graduate,"Rs 2,50,12,430","Rs 2,64,033"
177,IJYARAJ SINGH,Ghatal,INC,0,Post Graduate,"Rs 18,01,31,144",Rs 0
178,Inder Singh Namdhari,Ghaziabad,IND,0,Graduate Professional,"Rs 2,12,77,657",Rs 0
179,INDERJIT SINGH,Ghazipur,INC,0,Graduate Professional,"Rs 6,73,83,257","Rs 96,692"
180,ISMAIL HUSSAIN,Ghosi,INC,0,Post Graduate,"Rs 99,31,726",Rs 0
181,J. SHANTHA,Giridih,BJP,0,12th Pass,"Rs 4,65,72,264",Rs 0
182,JADHAV BALIRAM SUKUR,Godda,BVA,0,8th Pass,"Rs 23,99,053",Rs 0
183,JADHAV PRATAPRAO GANPATRAO,Gonda,SHS,10,Graduate,"Rs 1,20,52,820","Rs 45,41,550"
184,JAGATHRAKSHAKAN,Gopalganj,DMK,0,10th Pass,"Rs 5,91,06,399",Rs 0
185,Jagda Nand singh,Gorakhpur,RJD,1,Graduate Professional,"Rs 65,65,488","Rs 12,263"
186,JAGDAMBIKA PAL,Gulbarga,INC,1,Post Graduate,"Rs 4,97,20,730","Rs 45,66,564"
187,JAGDISH SINGH RANA,Guna,BSP,0,Graduate,"Rs 1,88,67,277","Rs 2,98,187"
188,JAGDISHBHAI MOTIJI THAKORE,Guntur,INC,0,10th Pass,"Rs 33,89,298","Rs 11,58,381"
189,JAI PRAKASH AGARWAL,Gurdaspur,INC,0,Graduate,"Rs 2,49,28,873",Rs 0
190,JANARDHANA SWAMY,Gurgaon,BJP,0,Post Graduate,"Rs 2,28,36,000",Rs 0
191,Jaswant Singh,Hajipur,BJP,0,Graduate,"Rs 8,35,71,845","Rs 7,44,864"
192,JAYA PRADA NAHATA,Hamirpur,SP,0,12th Pass,"Rs 13,14,90,118","Rs 13,98,995"
193,JAYANT K SINGH,Hamirpur,RLD,1,Post Graduate,"Rs 3,02,04,219","Rs 2,88,327"
194,Jayaram Pangi,Hardoi,BJD,0,10th Pass,"Rs 61,82,372",Rs 0
195,JAYSHREEBEN KANUBHAI PATEL,Hardwar,BJP,0,10th Pass,"Rs 33,43,068","Rs 2,63,528"
196,JEETENDRA SINGH,Hassan,BJP,0,Post Graduate,"Rs 1,05,96,506",Rs 0
197,JEYADURAI S R,Hathras,DMK,0,Graduate,"Rs 8,75,26,313","Rs 10,90,000"
198,Jigajinagi Ramesh Chandappa,Hatkanangle,BJP,0,Graduate,"Rs 1,17,53,725","Rs 39,02,460"
199,JITENDER SINGH,Haveri,INC,0,Graduate Professional,"Rs 17,79,080",Rs 0
200,JITENDRA SINGH,Hazaribagh,INC,0,Graduate,"Rs 6,79,67,810",Rs 0
201,Jose K Mani,Hindupur,KEC(M),0,Post Graduate,"Rs 96,51,729",Rs 0
202,JOSEPH TOPPO,Hingoli,AGP,0,10th Pass,"Rs 9,36,292","Rs 5,35,000"
203,JYOTI DHURVE,Hisar,BJP,0,Post Graduate,"Rs 71,35,000","Rs 6,38,122"
204,JYOTIRADITYA MADHAVRAO SCINDIA,Hooghly,INC,0,Post Graduate,"Rs 14,90,94,212",Rs 0
205,K C Venugopal,Hoshangabad,INC,0,Post Graduate,"Rs 35,33,704","Rs 2,03,374"
206,K P Dhanapalan,Hoshiarpur,INC,1,Graduate,"Rs 29,54,364",Rs 0
207,K Sudhakaran Kavinte Arikathu,Howrah,INC,3,Post Graduate,"Rs 73,59,040","Rs 6,00,000"
208,K. CHANDRASEKHARA RAO,Hyderabad,TRS,2,Graduate,"Rs 2,26,69,420",Rs 0
209,K. KRUPA RANI,Idukki,INC,0,Graduate Professional,"Rs 1,84,91,160","Rs 26,42,781"
210,K.C. SINGH BABA,Indore,INC,0,12th Pass,"Rs 4,39,87,049","Rs 6,49,024"
211,K.H.Muniyappa,Inner Manipur,INC,0,Graduate Professional,"Rs 5,19,21,402","Rs 2,10,19,510"
212,Kabindra Purkayastha,Jabalpur,BJP,0,Post Graduate,"Rs 20,98,543","Rs 81,279"
213,KABIR SUMAN,Jadavpur,AITC,0,Graduate,"Rs 32,06,685",Rs 0
214,KADEER RANA,Jagatsinghpur,BSP,4,Literate,"Rs 5,84,51,906",Rs 0
215,KAILASH JOSHI,Jaipur,BJP,0,10th Pass,"Rs 58,85,927",Rs 0
216,KAISAR JAHAN,Jaipur Rural,BSP,0,8th Pass,"Rs 65,53,956",Rs 0
217,KAKALI GHOSH DASTIDAR,Jajpur,AITC,0,Graduate Professional,"Rs 1,25,76,309","Rs 3,35,000"
218,KALIKESH NARAYAN SINGH DEO,Jalandhar,BJD,2,Graduate,"Rs 3,61,48,185","Rs 14,31,104"
219,KALMADI SURESH,Jalaun,INC,1,Post Graduate,"Rs 12,81,65,624",Rs 0
220,KALYAN BANERJEE,Jalgaon,AITC,0,Graduate Professional,"Rs 1,61,46,266","Rs 21,25,000"
221,KAMAL KISHOR,Jalna,INC,1,Graduate,"Rs 13,73,495",Rs 0
222,Kamaladevi Patale,Jalore,BJP,0,12th Pass,"Rs 35,56,426","Rs 80,000"
223,KAMESHWAR BAITHA,Jalpaiguri,JMM,46,10th Pass,"Rs 5,70,000",Rs 0
224,KAMLESH,Jammu,SP,0,5th Pass,"Rs 8,44,005",Rs 0
225,KANTILAL BHURIA,Jamnagar,INC,0,Post Graduate,"Rs 3,05,57,089",Rs 0
226,KAPIL MUNI KARWARIYA,Jamshedpur,BSP,4,Graduate Professional,Nil,Rs 0
227,KAPIL SIBAL,Jamui,INC,0,Post Graduate,"Rs 31,97,22,459",Rs 0
228,KARIYA MUNDA,Jangipur,BJP,0,Post Graduate,"Rs 59,89,638","Rs 1,33,125"
229,KATTI RAMESH VISHWANATH,Janjgir-Champa,BJP,1,12th Pass,"Rs 2,83,52,578",Rs 0
230,KAUSHALENDRA KUMAR,Jaunpur,JD(U),0,12th Pass,"Rs 71,33,058","Rs 2,27,065"
