Sno,Candidate∇,Adilabad,Party,Criminal Case,Education,Total Assets,Liabilities
304,N Chaluvarayaswamy,Ludhiana,JD(S),15,12th Pass,"Rs 5,41,68,804","Rs 41,25,000"
305,N Peethambarakurup,Machhlishahr,INC,2,Graduate,"Rs 28,10,132",Rs 0
306,N. Dharamsingh,Machilipatnam,INC,5,Post Graduate,"Rs 14,23,94,557","Rs 4,39,58,832"
307,Nalin Kumar Kateel,Madha,BJP,1,10th Pass,"Rs 53,91,279","Rs 28,44,596"
308,Nama Nageswara Rao,Madhepura,TDP,0,12th Pass,"Rs 1,73,75,08,117",Rs 0
309,"NAPOLEON,D.",Madhubani,DMK,0,Graduate,"Rs 19,14,19,973","Rs 2,82,70,000"
310,Narahari Mahato,Madurai,AIFB,0,Post Graduate,"Rs 30,86,000","Rs 4,00,000"
311,NARAMALLI SIVAPRASAD,Mahabubabad,TDP,0,Graduate Professional,"Rs 60,11,000",Rs 0
312,NARANBHAI BHIKHABHAI KACHHADIYA,Maharajganj,BJP,0,5th Pass,"Rs 47,48,283","Rs 3,00,000"
313,NARAYANASAMY,Mahasamund,INC,0,Post Graduate,"Rs 3,59,79,157","Rs 21,71,758"
314,NARAYANSINGH AMLABE,Mahbubnagar,INC,0,12th Pass,"Rs 38,08,133","Rs 1,61,617"
315,NARENDRA SINGH TOMAR,Mahesana,BJP,0,Graduate,"Rs 34,53,203","Rs 17,80,000"
316,NATARAJAN.P.R.,Mainpuri,CPM,0,Graduate,"Rs 17,67,722",Rs 0
317,NAVEEN JINDAL,Malappuram,INC,0,Post Graduate,"Rs 1,31,07,30,000",Rs 0
318,NAVJOT SINGH SIDHU,Maldaha Dakshin,BJP,1,Graduate,"Rs 14,50,37,236",Rs 0
319,NEERAJ SHEKHAR,Maldaha Uttar,SP,0,Graduate,"Rs 2,77,18,262","Rs 1,51,00,000"
320,NIKHIL KUMAR CHOUDHARY,Malkajgiri,BJP,4,Graduate,"Rs 80,18,754","Rs 8,02,308"
321,NINONG ERING,Mandi,INC,0,Graduate,"Rs 10,43,20,000","Rs 12,51,784"
322,NIRMAL KHATRI,Mandla,INC,0,Doctorate,"Rs 66,70,000","Rs 5,771"
323,NISHIKANT DUBEY,Mandsour,BJP,0,Post Graduate,"Rs 10,10,37,987",Rs 0
324,Nityananda Pradhan,Mandya,BJD,1,Post Graduate,"Rs 2,66,16,692","Rs 15,25,000"
325,Nripendra Nath Ray,Mangaldoi,AIFB,1,Graduate,"Rs 11,33,170",Rs 0
326,OmPrakashYadav,Mathura,IND,1,Graduate,"Rs 30,32,500",Rs 0
327,P C Chacko,Mathurapur,INC,0,Post Graduate,"Rs 1,63,35,679",Rs 0
328,P K Biju,Maval,CPM,0,Post Graduate,"Rs 4,61,000",Rs 0
329,P. BALRAM,Mavelikkara,INC,0,Graduate,"Rs 1,71,95,194","Rs 1,41,22,000"
330,P.C.Mohan,Mayiladuthurai,BJP,1,12th Pass,"Rs 5,37,29,000","Rs 3,28,87,000"
331,P.Karunakaran,Mayurbhanj,CPM,12,Post Graduate,"Rs 1,78,23,645",Rs 0
332,P.L.PUNIA,Medak,INC,0,Doctorate,"Rs 1,40,47,833","Rs 9,95,370"
333,PAKAURI LAL,Medinipur,SP,0,Literate,"Rs 17,62,515",Rs 0
334,PALANIMANICKAM.S.S,Meerut,DMK,0,Graduate Professional,"Rs 75,23,592","Rs 28,41,136"
335,PANABAKA LAKSHMI,Mirzapur,INC,0,Post Graduate,"Rs 1,66,35,386",Rs 0
336,PARAMJIT KAUR GULSHAN,Misrikh,SAD,0,Post Graduate,"Rs 1,42,08,609","Rs 21,85,837"
337,PARTAP SINGH BAJWA,Mizoram,INC,0,Graduate,"Rs 6,80,53,249","Rs 1,00,000"
338,PASHUPATI NATH SINGH,Mohanlalganj,BJP,2,Graduate,"Rs 39,43,516",Rs 0
339,PATEL NATUBHAI GOMANBHAI,Moradabad,BJP,3,5th Pass,"Rs 8,34,94,860","Rs 34,26,035"
340,PATIL PADAMSINHA BAJIRAO,Morena,NCP,7,Graduate Professional,"Rs 7,58,52,364",Rs 0
341,PAWAN KUMAR BANSAL,Mumbai North,INC,0,Graduate Professional,"Rs 3,87,29,400",Rs 0
342,PAWAR SHARADCHANDRA GOVINDRAO,Mumbai North Central,NCP,0,10th Pass,"Rs 8,72,38,434",Rs 0
343,Pinaki Misra,Mumbai North East,BJD,0,Graduate,"Rs 29,69,00,000",Rs 0
344,Ponnam Prabhakar,Mumbai North West,INC,0,Graduate Professional,"Rs 12,87,000",Rs 0
345,POONAMBEN VELJIBHAI JAT,Mumbai South,BJP,1,12th Pass,"Rs 5,24,126",Rs 0
346,PRABHABEN KISHORESINH TAVIAD,Mumbai South Central,INC,0,Graduate Professional,"Rs 68,23,687",Rs 0
347,PRABHATSINH PRATAPSINH CHAUHAN,Murshidabad,BJP,3,10th Pass,"Rs 72,55,000",Rs 0
