PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %,Criminal Case,Education,,
['Bahraich', '56', 'SC', 'Uttar Pradesh [2000 Onwards]', 'Sadhvi Savitri Bai Foole', 'Bharatiya Janta Party', '1638645', '934263', '57.0 %', '95645', '10.2%', '8', 'Graduate',,
['Balaghat', '15', 'GEN', 'Madhya Pradesh [2000 Onwards]', 'Bodhsingh Bhagat', 'Bharatiya Janta Party', '1629769', '1113364', '68.3 %', '96041', '8.6%', '0', 'Graduate',,
['Balasore', '6', 'GEN', 'Orissa', 'Rabindra Kumar Jena', 'Biju Janata Dal', '1366218', '1049450', '76.8 %', '141825', '13.5%', '0', 'Post Graduate',020']],
['Ballia', '72', 'GEN', 'Uttar Pradesh [2000 Onwards]', 'Bharat Singh', 'Bharatiya Janta Party', '1768271', '942211', '53.3 %', '139434', '14.8%', '3', 'Graduate',,
['Balurghat', '6', 'GEN', 'West Bengal', 'Arpita Ghosh', 'All India Trinamool Congress', '1254497', '1063053', '84.7 %', '106964', '10.1%', '0', 'Graduate',,
['Banaskantha', '2', 'GEN', 'Gujarat', 'Chaudhary Haribhai Parthibhai', 'Bharatiya Janta Party', '1515711', '886634', '58.5 %', '202334', '22.8%', '0', 'Graduate',,
['Banda', '48', 'GEN', 'Uttar Pradesh [2000 Onwards]', 'Bhairon Prasad Mishra', 'Bharatiya Janta Party', '1601917', '858326', '53.6 %', '115788', '13.5%', '2', '12th Pass',,
['Bangalore Central', '25', 'GEN', 'Karnataka', 'P.C. Mohan', 'Bharatiya Janta Party', '1931663', '1074589', '55.6 %', '137500', '12.8%', '2', '12th Pass',285']],
['Bangalore North', '24', 'GEN', 'Karnataka', 'D.V Sadananda Gowda', 'Bharatiya Janta Party', '2401472', '1356718', '56.5 %', '229764', '16.9%', '0', 'Graduate Professional',152']],
['Bangalore Rural', '23', 'GEN', 'Karnataka', 'D K Suresh', 'Indian National Congress', '2190397', '1455244', '66.4 %', '231480', '15.9%', '8', '12th Pass',756']],
['Bangalore South', '26', 'GEN', 'Karnataka', 'Ananth Kumar', 'Bharatiya Janta Party', '1999882', '1113726', '55.7 %', '228575', '20.5%', '0', 'Graduate Professional',,
['Bangaon', '14', 'SC', 'West Bengal', 'Kapil Krishna Thakur', 'All India Trinamool Congress', '1540713', '1283688', '83.3 %', '146601', '11.4%', '0', 'Graduate',,
['Banka', '27', 'GEN', 'Bihar [2000 Onwards]', 'Jai Prakash Narayan Yadav', 'Rashtriya Janata Dal', '1549456', '899353', '58.0 %', '10144', '1.1%', '2', 'Post Graduate',,
['Bankura', '36', 'GEN', 'West Bengal', 'Sreemati Dev Varma (MOON MOON SEN)', 'All India Trinamool Congress', '1503812', '1236319', '82.2 %', '98506', '8.0%', '0', 'Post Graduate',,
['Bansgaon', '67', 'SC', 'Uttar Pradesh [2000 Onwards]', 'Kamlesh Paswan', 'Bharatiya Janta Party', '1760110', '877877', '49.9 %', '189516', '21.6%', '0', 'Graduate',500']],
['Banswara', '20', 'ST', 'Rajasthan', 'Manshankar Ninama', 'Bharatiya Janta Party', '1692502', '1171188', '69.2 %', '91916', '7.8%', '0', '8th Pass',,
['Bapatla', '32', 'SC', 'Andhra Pradesh [2014 Onwards]', 'Malyadri Sriram', 'Telugu Desam', '1392965', '1184634', '85.0 %', '32754', '2.8%', '0', 'Post Graduate',,
['Baramati', '35', 'GEN', 'Maharashtra', 'Supriya Sule', 'Nationalist Congress Party', '1813543', '1066556', '58.8 %', '69719', '6.5%', '0', 'Graduate',,
['Baramulla', '1', 'GEN', 'Jammu & Kashmir', 'Muzaffar Hussain Baig', 'Jammu & Kashmir Peoples Democratic Party', '1190745', '465992', '39.1 %', '29219', '6.3%', '0', 'Post Graduate',285']],
['Barasat', '17', 'GEN', 'West Bengal', 'Dr. Kakali Ghoshdostidar', 'All India Trinamool Congress', '1512792', '1269331', '83.9 %', '173141', '13.6%', '0', 'Graduate Professional',,
['Bardhaman Purba', '38', 'SC', 'West Bengal', 'Sunil Kumar Mondal', 'All India Trinamool Congress', '1532244', '1320922', '86.2 %', '114479', '8.7%', '0', 'Graduate Professional',,
