pc_name,pc_no,pc_type,st_name,year,cand_name,cand_sex,partyname,partyabbre,totvotpoll,electors
Akbarpur,19,SC,Uttar Pradesh,2014,Girendra Pal Singh,M,Bahujan Samaj Party,BSP,122728,1083894
Akbarpur,19,SC,Uttar Pradesh,2014,Usha Verma,F,Samajwadi Party,SP,200852,1083894
Akbarpur,19,SC,Uttar Pradesh,2014,Jai Prakash,M,Akhil Bhartiya Lok Tantrik Congress,ABLTC,206256,1083894
Akbarpur,20,GEN,Uttar Pradesh,2014,Ravindra Singh Yadav,M,Ajeya Bharat Party,AJBP,532,1552441
Akbarpur,20,GEN,Uttar Pradesh,2014,Afaque Parvin,F,All India Minorities Front,AIMF,628,1552441
Akbarpur,20,GEN,Uttar Pradesh,2014,Bhesh Narayan Yadav,M,Pragatisheel Party,PSP,858,1552441
Akbarpur,20,GEN,Uttar Pradesh,2014,Ram Nivas Sahu,M,Parivartan Samaj Party,PSJP,905,1552441
Akbarpur,20,GEN,Uttar Pradesh,2014,Lakhte Hasan,M,Loktantrik Samajwadi Party,LSWP,1079,1552441
Akbarpur,20,GEN,Uttar Pradesh,2014,Maharshi Awadhesh,M,Independent,IND,2187,1552441
Akbarpur,20,GEN,Uttar Pradesh,2014,Salahuddin,M,All India Muslim Forum,AIMLF,2584,1552441
Akbarpur,20,GEN,Uttar Pradesh,2014,Ram Ashare Rawat,M,Independent,IND,2995,1552441
Akbarpur,20,GEN,Uttar Pradesh,2014,Arun Kumar,M,Apna Dal,AD,3050,1552441
Akbarpur,20,GEN,Uttar Pradesh,2014,Dinesh Jain,M,Independent,IND,6030,1552441
Akbarpur,20,GEN,Uttar Pradesh,2014,Dr Vijay Agarwal,M,Independent,IND,8527,1552441
Akbarpur,20,GEN,Uttar Pradesh,2014,Ijaharul Haque,M,Bahujan Samaj Party,BSP,43948,1552441
Akbarpur,20,GEN,Uttar Pradesh,2014,Bhagwati Singh,M,Samajwadi Party,SP,78826,1552441
Akbarpur,20,GEN,Uttar Pradesh,2014,Dr Karan Singh,M,Indian National Congress,INC,239085,1552441
Akbarpur,20,GEN,Uttar Pradesh,2014,Atal Bihari Vajpayee,M,Bharatiya Janata Party,BJP,362709,1552441
Akbarpur,21,SC,Uttar Pradesh,2014,Pankaj Kumar,M,Independent,IND,524,1149478
Akbarpur,21,SC,Uttar Pradesh,2014,Ram Vilash,M,Independent,IND,655,1149478
Akbarpur,21,SC,Uttar Pradesh,2014,Ajay Pal,M,Ajeya Bharat Party,AJBP,915,1149478
Akbarpur,21,SC,Uttar Pradesh,2014,Devta Din,M,Independent,IND,1817,1149478
Akbarpur,21,SC,Uttar Pradesh,2014,Sunder Lal,M,Independent,IND,1875,1149478
Akbarpur,21,SC,Uttar Pradesh,2014,Sajeewan,M,Independent,IND,2488,1149478
Akbarpur,21,SC,Uttar Pradesh,2014,Raj Bahadur,M,Independent,IND,2505,1149478
Akbarpur,21,SC,Uttar Pradesh,2014,Puttu Lal,M,Apna Dal,AD,2560,1149478
Akbarpur,21,SC,Uttar Pradesh,2014,Sukh Lal,M,All India Muslim Forum,AIMLF,2932,1149478
Akbarpur,21,SC,Uttar Pradesh,2014,Raj Kumar Chowdhary,M,Independent,IND,3586,1149478
Akbarpur,21,SC,Uttar Pradesh,2014,Becha Lal,M,Independent,IND,7373,1149478
