Sno,Candidate∇,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
2162,Ganesh Rajak,VIDISHA,Samata Party,0,12th Pass,"Rs 5,60,000",Rs 0
2163,Ganesh Ram,SIWAN,BSP,1,Post Graduate,"Rs 7,79,202",Rs 0
2164,Ganesh Shaw,PATNA SAHIB,BSP,0,Graduate,"Rs 64,000","Rs 52,000"
2165,Ganesh Singh,SATNA,BJP,2,Post Graduate,"Rs 3,78,00,000",Rs 0
2166,Ganesh Yadav,BILASPUR,GGP,0,10th Pass,"Rs 1,00,500",Rs 0
2167,Ganesha,CHITRADURGA,IND,0,Not Given,"Rs 1,15,500",Rs 0
2168,Ganesha Murthi.a,ERODE,MDMK,1,Graduate,"Rs 2,98,56,503","Rs 25,12,561"
2169,"Ganeshkumar, K.",COIMBATORE,DMK,0,Graduate Professional,"Rs 1,29,64,091","Rs 2,22,000"
2170,Ganga Charan,KANNAUJ,Rashtriya Kranti Party,0,Post Graduate,"Rs 15,38,638","Rs 75,000"
2171,Ganga Singh,JALAUN,Al-Hind Party,0,10th Pass,"Rs 8,500",Rs 0
2172,Ganga Vishnu Prasadq,PATNA SAHIB,IND,0,Graduate Professional,"Rs 64,01,308",Rs 0
2173,"Gangadaran, K.",VELLORE,IND,0,Not Given,"Rs 40,09,373",Rs 0
2174,Gangadhar Patel,MAHASAMUND,IND,0,5th Pass,"Rs 9,29,000",Rs 0
2175,Gangadhar S. Badiger,DHARWAD,SUCI(C),0,Graduate,"Rs 60,000",Rs 0
2176,Gangadhar Sitaram Kalkute,BEED,IND,0,Graduate,"Rs 4,25,000",Rs 0
2177,"Gangadharan, K.",VELLORE,Tamil Nadu Makkal Congress,0,10th Pass,"Rs 1,67,000","Rs 17,500"
2178,Gangaram Pratap,KHARGONE,Aadijan Mukti Sena,0,8th Pass,"Rs 38,287",Rs 0
2179,Gangaram Sasmal,GHATAL,Party for Democratic Socialism,0,Graduate,"Rs 25,28,000",Rs 0
