Sno,Candidate∇,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
4548,Narayan Lal Parihar,JAIPUR RURAL,Bharat Nav Nirman Party,0,8th Pass,"Rs 15,67,700","Rs 2,53,370"
4549,Narayan Singh,AGRA,BSP,1,Literate,"Rs 4,51,03,247","Rs 99,21,989"
4550,Narayan Singh,RAJGARH,INC,4,12th Pass,"Rs 1,34,92,052","Rs 17,09,097"
4551,Narayan Singh Kushwah,GWALIOR,IND,0,12th Pass,"Rs 3,38,425",Rs 0
4552,Narayanaswamy,KOLAR,IND,0,Literate,"Rs 4,01,390",Rs 0
4553,Narayanrao Gupchup,GUNA,IND,0,8th Pass,"Rs 40,55,500",Rs 0
4554,Narendar Kumar,JAHANABAD,SHS,0,Graduate,"Rs 3,11,800",Rs 0
4555,Narender,HISAR,IND,1,10th Pass,"Rs 3,02,60,500","Rs 7,00,000"
4556,Narender Pichopa-khurd,BHIWANI MAHENDRAGARH,IND,0,12th Pass,"Rs 3,00,000",Rs 0
4557,Narendra Bahadur Singh,VARANASI,IND,0,Post Graduate,"Rs 27,72,000",Rs 0
4558,Narendra Bansod,RAJNANDGAON,Ambedkarite Party of India,0,Graduate Professional,"Rs 15,90,000",Rs 0
4559,Narendra Bhati,GAUTAM BUDHHA NAGAR,SP,0,12th Pass,"Rs 5,36,17,561",Rs 0
4560,Narendra Chandra Deb Barma,TRIPURA EAST,Indigenous Peoples Front of Tripura,0,Graduate,"Rs 1,13,65,500",Rs 0
4561,Narendra Chinduji Meshram,WARDHA,GGP,0,5th Pass,"Rs 41,21,000","Rs 20,000"
4562,Narendra Gupta,DURG,Bhrashtachar Mukti Morcha,0,Graduate Professional,"Rs 76,85,000",Rs 0
4563,Narendra Kr Pandey,CHANDNI CHOWK,BSP,0,12th Pass,"Rs 4,89,80,150","Rs 31,66,282"
4564,Narendra Kumar,MOHANLALGANJ,INC,0,Graduate,"Rs 2,95,31,000",Rs 0
4565,Narendra Kumar Shrivastava,BANDA,IND,0,10th Pass,"Rs 38,03,936",Rs 0
4566,Narendra Mishra,SITAMARHI,IND,0,Post Graduate,"Rs 16,26,000",Rs 0
4567,Narendra Modi,VADODARA,BJP,0,Post Graduate,"Rs 1,51,57,582",Rs 0
4568,Narendra Modi,VARANASI,BJP,0,Post Graduate,"Rs 1,65,91,582",Rs 0
4569,Narendra Mohanty,KANDHAMAL,AAP,9,Post Graduate,"Rs 12,17,466","Rs 2,87,074"
4570,Narendra Nath Dubey Adig,VARANASI,Jan Shakti Ekta Party,0,Graduate Professional,"Rs 48,83,389",Rs 0
4571,Narendra Nath Ghosh,DUM DUM,BSP,0,Graduate,"Rs 71,12,926",Rs 0
4572,Narendra Prabhashankar Pandey,THANE,IND,0,10th Pass,"Rs 95,54,000",Rs 0
4573,Narendra Pratap Singh,BUXAR,IND,0,Post Graduate,"Rs 72,94,224",Rs 0
4574,Narendra Sharma,NORTH EAST DELHI,SUCI(C),0,Post Graduate,"Rs 11,27,72,737",Rs 0
4575,Narendra Singh Negi,GARHWAL,CPI,0,Post Graduate,"Rs 32,73,000","Rs 1,25,000"
4576,Narendra Singh Rawat,NEW DELHI,IND,0,12th Pass,"Rs 79,000",Rs 0
4577,Narendra Singh Tomar,GWALIOR,BJP,1,Graduate,"Rs 1,14,12,622","Rs 45,31,444"
4578,Narendrabhai Amrutlal Mahajan,RAJKOT,IND,0,8th Pass,"Rs 30,000",Rs 0
4579,Narendranath Chaganla,MEDAK,BJP,13,10th Pass,"Rs 1,76,48,05,829","Rs 8,82,04,083"
4580,Naresh,ADILABAD,INC,0,Doctorate,"Rs 18,00,000",Rs 0
4581,Naresh Arvind Thakur,KALYAN,AAP,0,Post Graduate,"Rs 31,57,123","Rs 6,270"
4582,Naresh Batra,HISAR,IND,0,10th Pass,"Rs 3,87,29,000",Rs 0
4583,Naresh Chand,AMROHA,IND,0,10th Pass,"Rs 1,10,68,000",Rs 0
4584,Naresh Gautam,GHAZIABAD,Bahujan Mukti Party,0,Graduate,"Rs 36,60,000",Rs 0
4585,Naresh Kumar,SOUTH DELHI,IND,0,Illiterate,"Rs 1,43,186",Rs 0
4586,Naresh Kumar,AMROHA,IND,0,Post Graduate,"Rs 21,45,327",Rs 0
4587,Naresh Kumar,JHANSI,Rashtriya Sarvajan Party,0,8th Pass,"Rs 3,33,900",Rs 0
4588,Naresh Kumar,BHIWANI MAHENDRAGARH,SP,0,Not Given,"Rs 29,92,100",Rs 0
4589,Naresh Kumar Priyadarshi,BANKA,IND,0,Graduate,"Rs 38,63,500","Rs 2,50,000"
4590,Naresh Mahadeo Patil,RAMTEK,Bahujan Mukti Party,0,Doctorate,"Rs 38,45,000","Rs 3,12,000"
4591,Naresh Mahadeorao Gughane,YAVATMAL WASHIM,IND,0,8th Pass,"Rs 65,000",Rs 0
4592,Naresh Prasad Singh,NALANDA,IND,0,Graduate,"Rs 1,13,87,000","Rs 25,99,000"
4593,Naresh Rishi,MALDAHA DAKSHIN,IND,0,12th Pass,"Rs 5,28,000",Rs 0
4594,Naresh Singh Bhadauriya,AMETHI,IND,0,Graduate Professional,"Rs 4,75,82,000","Rs 2,00,000"
4595,Naresh Singh Solanki,AONLA,AAP,0,Graduate,"Rs 3,25,37,903","Rs 87,82,000"
4596,Naresh Tandi,RAIPUR,IND,1,5th Pass,"Rs 5,51,000",Rs 0
4597,Narinder Kumar,HISAR,IND,0,Others,"Rs 89,31,000","Rs 6,00,000"
4598,Naringa Ram Yadav,JALORE,IND,0,Post Graduate,"Rs 88,40,490",Rs 0
4599,Nariya Pravinbhai Vallabhbhai,JAMNAGAR,IND,0,5th Pass,"Rs 42,000",Rs 0
4600,Narla Mohan Rao,SECUNDERABAD,All India Majlis-E-Ittehadul Muslimeen,0,10th Pass,"Rs 1,50,73,000",Rs 0
4601,Narmada Prashad Ahirwar,VIDISHA,Bahujan Mukti Party,0,5th Pass,"Rs 38,62,000",Rs 0
4602,Naru Simhadri Naidu,VIZIANAGARAM,AAP,0,Post Graduate,"Rs 22,52,790","Rs 50,000"
4603,Narwekar Rahul Suresh,MAVAL,NCP,0,Graduate Professional,"Rs 10,04,54,484","Rs 1,34,36,552"
4604,Naseem Ahmad Ansari,MUZAFFARNAGAR,IND,0,Literate,"Rs 1,26,110",Rs 0
4605,Naseer Ahmad Khan,RAMPUR,SP,0,Post Graduate,"Rs 3,65,12,409",Rs 0
4606,Nashyam Mohammad Farook,NANDYAL,TDP,4,10th Pass,"Rs 3,15,99,109",Rs 0
4607,Nasir Ahmed,JORHAT,AIUDF,0,Graduate,"Rs 18,30,000",Rs 0
4608,Nasir Papulsab Bagwan,BELGAUM,JD(S),0,12th Pass,"Rs 96,22,97,866","Rs 9,58,26,301"
4609,Nasiruddin Mir,SREERAMPUR,Indian Unity Centre,0,Post Graduate,"Rs 6,33,103",Rs 0
4610,Nasmul Hoque,MALDAHA DAKSHIN,Party for Democratic Socialism,1,10th Pass,"Rs 6,25,000",Rs 0
4611,Nasreen Bano,FAIZABAD,Rashtriya Ulama Council,0,8th Pass,"Rs 31,52,116",Rs 0
4612,"Natarajan, P.r.",COIMBATORE,CPI(M),1,12th Pass,"Rs 41,26,060",Rs 0
4613,Natarajan.m,NAMAKKAL,IND,0,8th Pass,"Rs 1,72,05,000","Rs 14,00,000"
4614,Natarajan.r,DHARMAPURI,IND,0,10th Pass,"Rs 33,04,600",Rs 0
4615,Natchiappan Sp,SIVAGANGA,IND,0,5th Pass,"Rs 51,000",Rs 0
4616,Nathabhai Dayabhai Tota,AMRELI,IND,0,Literate,"Rs 1,48,000","Rs 50,000"
4617,Nathekar Pramod Gyaniram,NASHIK,IND,0,10th Pass,"Rs 2,53,000","Rs 96,000"
4618,Natholi,FATEHPUR SIKRI,IND,0,Literate,"Rs 2,71,000",Rs 0
4619,Nathu Ram,SAMBALPUR,BSP,0,Graduate,"Rs 65,38,687",Rs 0
4620,Nathu Ram Boudha,PHULPUR,Bahujan Mukti Party,1,Graduate Professional,"Rs 2,65,340",Rs 0
4621,Natthi Lal Sharma,ALIGARH,IND,0,Graduate,"Rs 97,94,000",Rs 0
4622,Natubhai G. Patel,DADRA AND NAGAR HAVELI,BJP,5,5th Pass,"Rs 15,47,60,217","Rs 6,22,86,836"
4623,Naushaba Khanam,BHAGALPUR,BSP,2,10th Pass,"Rs 67,56,440","Rs 6,00,000"
4624,Naushad Alam,CHATRA,AITC,0,Graduate,"Rs 48,39,400",Rs 0
4625,Navajyoti Kalita,DIBRUGARH,AITC,0,10th Pass,"Rs 2,50,04,000","Rs 3,26,50,000"
4626,Navanath Bhimrao Patil,MADHA,Hindusthan Praja Paksha,1,Graduate,"Rs 11,02,500","Rs 1,60,000"
4627,Naved Mian,RAMPUR,IND,0,Not Given,"Rs 95,000",Rs 0
4628,Naveen Chandra,NEW DELHI,Naya Daur Party,0,Graduate,"Rs 45,65,000",Rs 0
4629,Naveen Gupta,RAIPUR,SP,0,10th Pass,"Rs 2,38,29,011","Rs 48,16,480"
4630,Naveen Jaihind,ROHTAK,AAP,1,Doctorate,"Rs 3,40,057",Rs 0
4631,Naveen Jain,JABALPUR,IND,0,Graduate,"Rs 1,16,87,096","Rs 50,000"
4632,Naveen Jindal,KURUKSHETRA,INC,2,Post Graduate,"Rs 3,08,31,54,000","Rs 4,91,14,000"
4633,Naveen Murmu,SINGHBHUM,Rashtriya Deshaj Party,0,12th Pass,"Rs 5,90,500",Rs 0
4634,Navid Hasan Momin,BHIWANDI,IND,1,Graduate,"Rs 50,01,57,500",Rs 0
4635,Navin Chandra Jha,GODDA,IND,0,Post Graduate,"Rs 9,58,900",Rs 0
4636,Navin Pilania,JAIPUR RURAL,NPP,0,Graduate Professional,"Rs 11,78,22,738","Rs 1,80,22,060"
4637,Navjot Singh Mandair,LUDHIANA,BSP,0,Post Graduate,"Rs 60,71,675","Rs 2,00,000"
4638,Navlesh Pathak,PURNIA,IND,0,Post Graduate,"Rs 2,50,60,000","Rs 10,000"
4639,Navnath Dashrath Uplekar,OSMANABAD,IND,0,10th Pass,"Rs 1,60,000",Rs 0
4640,Navneet,BATHINDA,SHS,0,12th Pass,"Rs 57,60,000","Rs 5,60,000"
4641,Navneet Chautala,ANANDPUR SAHIB,IND,0,12th Pass,"Rs 30,05,000","Rs 1,012"
4642,Navneet Ravi Rana,AMRAVATI,NCP,3,10th Pass,"Rs 2,94,96,562","Rs 18,58,727"
4643,Navneet Singh,TEHRI GARHWAL,Rashtriya Uttarakhand Party,0,Post Graduate,"Rs 1,65,27,000","Rs 14,00,000"
4644,Navpreet Singh Bedi,LUDHIANA,IND,1,Post Graduate,"Rs 99,96,000",Rs 0
4645,Navulla Mallareddy,BHONGIR,IND,0,Post Graduate,"Rs 14,85,500","Rs 45,000"
4646,Nawab Kazim Ali Khan,RAMPUR,INC,0,Post Graduate,"Rs 57,11,46,438","Rs 77,45,000"
4647,Nawal Kishor Jha,MUZAFFARPUR,Samajwadi Janata Party (Rashtriya),0,Graduate,"Rs 8,50,000","Rs 50,000"
4648,Nawal Kishor Singh,LOHARDAGA,IND,0,10th Pass,"Rs 17,33,000",Rs 0
4649,Nayak Manojkumar Jantilal,GANDHINAGAR,Loktantrik Rashrtavadi Party,0,12th Pass,"Rs 1,86,000",Rs 0
4650,Nayeb Ali,NALANDA,AITC,0,Doctorate,"Rs 18,96,783",Rs 0
4651,Nazakat Hussain,UDHAMPUR,IND,0,Post Graduate,"Rs 5,00,000",Rs 0
4652,Nazarudheen,MALAPPURAM,SDPI,5,10th Pass,"Rs 18,55,691","Rs 7,50,000"
4653,Nazeer Hussain,KOPPAL,Rashtriya Krantikari Samajwadi Party,0,10th Pass,"Rs 5,82,000",Rs 0
4654,Nazma Yasmeen,DIAMOND HARBOUR,Welfare Party of India,0,Graduate,"Rs 6,11,549",Rs 0
4655,Neelam,LALGANJ,BJP,1,Post Graduate,"Rs 3,38,63,562","Rs 26,31,312"
4656,Neelam Agrwal,GWALIOR,AAP,0,12th Pass,"Rs 34,61,200","Rs 7,00,000"
4657,Neeraj,TIKAMGARH,CPI,0,8th Pass,"Rs 4,61,000",Rs 0
4658,Neeraj Kumar Advocate,AKBARPUR,IND,0,Graduate Professional,"Rs 19,85,000",Rs 0
4659,Neeraj Pathak,MADHUBANI,AAP,0,Graduate,"Rs 1,37,63,263","Rs 1,20,000"
4660,Neeraj Shekhar,BALLIA,SP,0,Graduate,"Rs 6,97,40,119","Rs 60,00,000"
4661,Neeru Agarwal,JAIPUR,National Unionist Zamindara Party,0,Post Graduate,"Rs 26,65,000",Rs 0
4662,Neeru Ram,RAJSAMAND,BSP,0,10th Pass,"Rs 68,66,060","Rs 90,000"
4663,Neerugutta Nageswara,TIRUPATI,AAP,1,Graduate,"Rs 2,64,920","Rs 1,20,000"
4664,Neil Tirkey,KHUNTI,AJSU Party,1,Graduate,"Rs 2,37,71,799","Rs 84,00,000"
4665,Neiphiu Rio,NAGALAND,NPF,0,Graduate,"Rs 31,58,34,264",Rs 0
4666,Nemichand,NAGAUR,Aarakshan Virodhi Party,0,10th Pass,"Rs 2,46,000",Rs 0
4667,Nepal Mahata,PURULIA,INC,25,Post Graduate,"Rs 25,68,043","Rs 7,11,531"
4668,Net Ram,BAREILLY,IND,0,Literate,"Rs 65,25,004",Rs 0
4669,Nethawath Ramdas,ADILABAD,IND,0,Illiterate,Nil,Rs 0
4670,Netrananda Mallick,BHADRAK,Aama Odisha Party,0,Graduate,"Rs 17,10,000",Rs 0
4671,Nihal Ah A Reheman,DHULE,SP,0,10th Pass,"Rs 2,86,05,000",Rs 0
4672,Nihalchand,GANGANAGAR,BJP,0,Graduate,"Rs 1,08,61,172","Rs 16,11,557"
4673,Nihaluddin Ahamad,KAISERGANJ,All India Peoples Front (Radical),1,Post Graduate,"Rs 1,58,40,317",Rs 0
4674,Nijam Mohaideen .m,CHENNAI NORTH,SDPI,0,Graduate,"Rs 13,94,351","Rs 79,800"
4675,Nikam Devdatta Jaywant,SHIRUR,NCP,3,Graduate,"Rs 72,77,063","Rs 2,96,000"
4676,Nikam Sopanrao Pandharinath,SHIRUR,AAP,0,Post Graduate,"Rs 3,55,06,712","Rs 3,00,000"
4677,Nikhil Chandra Mondal,MALDAHA DAKSHIN,BSP,0,10th Pass,"Rs 1,01,44,432","Rs 1,60,000"
4678,Nikhil Kumar,AURANGABAD,INC,0,Post Graduate,"Rs 29,73,02,441",Rs 0
4679,Nikhil Kumar Choudhary,KATIHAR,BJP,0,Graduate,"Rs 2,52,25,976","Rs 4,08,966"
4680,Nikhil Sablania,NEW DELHI,IND,0,Graduate Professional,"Rs 38,000",Rs 0
4681,Nilam Devi,CHATRA,JVM(P),0,5th Pass,"Rs 97,80,527","Rs 10,48,964"
4682,Nilesh Dhanave,PUNE,IND,0,Post Graduate,"Rs 1,41,36,754","Rs 19,50,000"
4683,Nilesh Mahadeo Dhoke,RAMTEK,IND,0,8th Pass,Nil,Rs 0
4684,Nilesh Narayan Rane,RATNAGIRI SINDHUDURG,INC,2,Doctorate,"Rs 13,68,11,633","Rs 4,91,29,849"
4685,Nilesh Tiwari,MANDSOUR,IND,0,Post Graduate,"Rs 11,56,972",Rs 0
4686,Nilesh Yashwant Mhaskule,SHIRUR,IND,0,12th Pass,"Rs 8,19,858","Rs 2,10,000"
4687,Nilima Sharma,PILIBHIT,Peace Party,0,Doctorate,"Rs 55,95,570","Rs 20,000"
4688,Nilmadhab Gupta,BANKURA,INC,2,Others,"Rs 4,98,159","Rs 3,60,000"
4689,Nilu Mandol,SILCHAR,SHS,0,8th Pass,"Rs 2,83,000",Rs 0
4690,Nilu Singh,MUZAFFARPUR,"Proutist Bloc, India",0,12th Pass,"Rs 10,65,960",Rs 0
4691,Nilufar Jamani,TUMKUR,BSP,0,Graduate,"Rs 74,08,37,798",Rs 0
4692,Nima Lama,DARJEELING,Gorkha Rashtriya Congress,0,Graduate,"Rs 76,64,167","Rs 1,55,997"
4693,Nimu Bhowmick,RAIGANJ,BJP,0,10th Pass,"Rs 32,00,680",Rs 0
4694,Nina P Nayak,BANGALORE SOUTH,AAP,0,Post Graduate,"Rs 3,51,29,117","Rs 10,00,000"
4695,Ninong Ering,ARUNACHAL EAST,INC,0,Graduate,"Rs 8,80,65,000",Rs 0
4696,Nirada Barana Khuntia,PURI,AAP,0,Not Given,"Rs 50,04,386",Rs 0
4697,Niraj Kumar,BANKA,AAP,0,12th Pass,"Rs 19,77,100",Rs 0
4698,Niraj Kumar,PATALIPUTRA,IND,0,Graduate,"Rs 51,500",Rs 0
4699,Niraj Ram,SARAN,Bahujan Mukti Party,0,Literate,"Rs 1,35,000","Rs 7,500"
4700,Niraj Sharma,NALANDA,Rajnaitik Vikalp Party,0,Literate,"Rs 1,13,99,238",Rs 0
4701,Niranjan Kumar,GAYA,CPI(ML)L,2,Graduate,"Rs 1,40,000","Rs 1,384"
4702,Niranjan Prasad Yadav,GODDA,IND,0,Post Graduate,"Rs 10,15,032","Rs 1,05,000"
4703,Niranjan Saha,DARJEELING,Amra Bangalee,0,Graduate Professional,"Rs 18,25,400",Rs 0
4704,Niranjan Singh,HATHRAS,IND,0,10th Pass,"Rs 40,23,000",Rs 0
4705,Niranjan Singh Dhangar,HATHRAS,RLD,1,12th Pass,"Rs 4,87,77,359","Rs 23,28,803"
4706,Nirhu,KAISERGANJ,CPI(ML) Red Star,0,Literate,"Rs 2,48,500",Rs 0
4707,Nirmal Khatri,FAIZABAD,INC,0,Doctorate,"Rs 93,64,711","Rs 2,98,340"
4708,Nirmal Kumar,KANNAUJ,BSP,0,Post Graduate,"Rs 4,79,27,051","Rs 1,38,42,793"
4709,Nirmal Samal,DHENKANAL,IND,0,8th Pass,"Rs 7,40,000",Rs 0
4710,Nirmal Singh,FATEHGARH SAHIB,NCP,0,12th Pass,"Rs 1,70,000",Rs 0
4711,Nirmal Singh,JAMMU,IND,0,Graduate,"Rs 3,04,96,000","Rs 9,04,000"
4712,Nirmal Singh Bolina,JALANDHAR,IND,0,Post Graduate,"Rs 27,24,000","Rs 20,00,000"
4713,Nirmal Singh Dhaliwal,PATIALA,CPI,0,Graduate Professional,"Rs 84,03,786","Rs 3,00,000"
4714,Nirmala,FARIDABAD,JD(U),0,Illiterate,"Rs 29,14,700",Rs 0
4715,Nirmala Devi,PRATAPGARH,Bhartiya Vanchitsamaj Party,0,8th Pass,"Rs 85,378",Rs 0
4716,Nirmala Kumari,CHAMARAJANAGAR,IND,0,Post Graduate,"Rs 2,95,000",Rs 0
4717,Niroop Mahanty,JAMSHEDPUR,JMM,0,Post Graduate,"Rs 19,10,88,713",Rs 0
4718,Nirupam Mandal,SILCHAR,IND,0,Graduate Professional,"Rs 25,500",Rs 0
4719,Nisar Ahmad Ahanger,BARAMULLA,IND,0,10th Pass,"Rs 38,13,600",Rs 0
4720,Nisar Subhan Khan Pathan,PARBHANI,IND,1,12th Pass,"Rs 31,00,000","Rs 1,65,000"
4721,Nishant Kanchan,KAISERGANJ,IND,0,12th Pass,"Rs 1,59,000",Rs 0
4722,Nishant Tyagi,BAGHPAT,IND,0,12th Pass,"Rs 11,47,000",Rs 0
4723,Nishar Ahmad,ALWAR,Jai Maha Bharath Party,0,Literate,"Rs 3,64,13,916",Rs 0
4724,Nishi Kant Mandal,BHAGALPUR,Bahujan Mukti Party,0,Graduate Professional,"Rs 14,80,865","Rs 3,03,354"
4725,Nishikant Dubey,GODDA,BJP,5,Post Graduate,"Rs 15,56,33,719",Rs 0
4726,Nistha Dev Maurya,ALLAHABAD,Pragatisheel Samaj Party,0,Graduate,"Rs 18,06,000","Rs 2,45,000"
4727,Nitima Bodra Bari,KHUNTI,SP,0,Graduate,"Rs 62,37,543",Rs 0
4728,Nitin,GHAZIABAD,IND,0,10th Pass,"Rs 1,000",Rs 0
4729,Nitin Ganpatrao Savgave,SANGLI,Bahujan Mukti Party,0,Doctorate,"Rs 1,71,49,503","Rs 26,30,000"
4730,Nitin H. Khare,MUMBAI NORTH WEST,IND,0,Graduate Professional,"Rs 83,95,927","Rs 24,57,620"
4731,Nitin Ishwarlal Vakil,BHARUCH,IND,0,Graduate Professional,"Rs 7,15,400",Rs 0
4732,Nitin Navnath Udmale,SHIRDI,AAP,0,Graduate,"Rs 37,56,000","Rs 16,92,146"
4733,Nitin Ravindra Rajvardhan,MUMBAI NORTH,Bahujan Mukti Party,0,10th Pass,"Rs 53,15,311",Rs 0
4734,Nitin Shankar Deshpande,THANE,Dharmarajya Paksha,0,Post Graduate,"Rs 1,14,59,035","Rs 3,68,337"
4735,Nitin Singh,BARABANKI,Naitik Party,0,Graduate,"Rs 50,000",Rs 0
4736,Nitin Vasant Pohane,CHANDRAPUR,Lok Bharati,0,Graduate,"Rs 85,29,000","Rs 22,55,000"
4737,Nitinkumar Sahu,CHHINDWARA,BSP,2,10th Pass,"Rs 5,85,000","Rs 1,50,000"
4738,Nityanand Rai,UJIARPUR,BJP,1,Graduate,"Rs 14,67,43,540","Rs 39,65,423"
4739,Nityanand Singh,JAHANABAD,IND,2,Literate,"Rs 13,92,245","Rs 20,00,000"
4740,Niyaj Ahmad,DEORIA,BSP,0,12th Pass,"Rs 3,63,06,005","Rs 18,33,575"
4741,Niyaz Ahmed Allauddin Shaikh,MUMBAI NORTH CENTRAL,Awami Vikas Party,0,8th Pass,"Rs 4,08,51,500","Rs 17,15,00,000"
4742,Noble Mathew,KOTTAYAM,IND,0,Post Graduate,"Rs 5,50,79,708","Rs 50,000"
4743,Nohar Singh Sonwani,JANJGIR-CHAMPA,SP,0,Graduate,"Rs 32,70,000",Rs 0
4744,Nole Javidbhai Osmanbhai,JAMNAGAR,IND,0,8th Pass,"Rs 32,000",Rs 0
4745,Noor Ahmed Madani,KURNOOL,Socialistic Democratic Party,0,Post Graduate,"Rs 3,70,000",Rs 0
4746,Noor Jiyavudeen.m.i,RAMANATHAPURAM,SDPI,5,8th Pass,"Rs 56,40,727","Rs 12,45,457"
4747,Noor Mohammed Khan,MUMBAI SOUTH CENTRAL,IND,1,10th Pass,"Rs 4,74,91,284",Rs 0
4748,Noor Mohmmad,ETAH,BSP,0,Graduate Professional,"Rs 2,77,00,594",Rs 0
4749,Nripendra Narayan Singha Karjee,COOCHBEHAR,SUCI(C),1,12th Pass,"Rs 3,68,300",Rs 0
4750,Nune Vengaiah,TIRUPATI,IND,0,Graduate,"Rs 67,66,231","Rs 99,000"
4751,Nural Islam,BALURGHAT,SUCI(C),0,Graduate,"Rs 8,80,700",Rs 0
4752,Nurul Huda,BASIRHAT,CPI,0,Post Graduate,"Rs 1,32,82,187",Rs 0
4753,Nurul Islam,BIRBHUM,JD(U),0,Graduate,"Rs 2,00,038",Rs 0
4754,Nutan Vijay,SAMBHAL,IND,0,Post Graduate,"Rs 8,02,00,000",Rs 0
4755,O M Jyotheendra Nath,THIRUVANANTHAPURAM,IND,0,Graduate,"Rs 56,20,000","Rs 1,30,000"
4756,O Rajagopal,THIRUVANANTHAPURAM,BJP,0,Graduate Professional,"Rs 12,11,046",Rs 0
4757,O V Sreedath,THIRUVANANTHAPURAM,Socialist Republican Party,4,Graduate,"Rs 3,39,65,814",Rs 0
4758,Obulesu Thudum,NANDYAL,BSP,0,Post Graduate,"Rs 15,90,000","Rs 1,50,000"
4759,Oinam Jotin Singh,INNER MANIPUR,Jai Maha Bharath Party,0,Graduate,"Rs 3,36,000",Rs 0
4760,Olwin Mariyan Lopis,UTTARA KANNADA,Bahujan Mukti Party,0,10th Pass,"Rs 3,98,845",Rs 0
4761,Om Birla,KOTA,BJP,2,Post Graduate,"Rs 2,58,70,497","Rs 9,97,366"
4762,Om Dutt Sharma,NORTH EAST DELHI,SHS,2,12th Pass,"Rs 1,97,000",Rs 0
4763,Om Guru Charan Das Alias Vimal Kumar Singh,VARANASI,Sanatan Sanskriti Raksha Dal,0,10th Pass,"Rs 48,82,000","Rs 4,70,000"
4764,Om Parkash,HISAR,Bharatiya Sant Mat Party,0,10th Pass,"Rs 20,24,000",Rs 0
4765,Om Parkash,GANGANAGAR,IND,0,Literate,"Rs 3,50,600",Rs 0
4766,Om Parkash Jakhu,HOSHIARPUR,IND,0,5th Pass,"Rs 58,144",Rs 0
4767,Om Prakash,GONDA,CPI,0,Post Graduate,"Rs 12,11,746",Rs 0
4768,Om Prakash,MATHURA,IND,0,12th Pass,"Rs 7,55,370",Rs 0
4769,Om Prakash,AGRA,IND,0,Literate,"Rs 19,35,966",Rs 0
4770,Om Prakash,MISRIKH,INC,0,Post Graduate,"Rs 4,90,09,224","Rs 36,91,009"
4771,Om Prakash,MOHANLALGANJ,Peace Party,0,12th Pass,"Rs 4,61,300",Rs 0
4772,Om Prakash Dande,RAIPUR,IND,0,12th Pass,"Rs 98,14,792","Rs 4,00,000"
4773,Om Prakash Dhankhad,ROHTAK,BJP,1,Post Graduate,"Rs 1,05,87,916",Rs 0
4774,Om Prakash Jharoda,JHUNJHUNU,CPI(ML)L,3,10th Pass,"Rs 2,30,500",Rs 0
4775,Om Prakash Mali,PALI,IND,0,5th Pass,"Rs 1,66,500",Rs 0
4776,Om Prakash Mishra,BALURGHAT,INC,0,Post Graduate,"Rs 1,26,70,505","Rs 15,94,992"
4777,Om Prakash Rajbhar,SALEMPUR,Suheldev Bhartiya Samaj Party,1,Graduate,"Rs 1,52,48,525",Rs 0
4778,Om Prakash Ravi,NAGINA,SHS,0,8th Pass,"Rs 4,68,848",Rs 0
4779,Om Prakash Yadav,SIWAN,BJP,1,Graduate,"Rs 22,13,023","Rs 19,56,467"
4780,Om Shanti Baba,VALMIKI NAGAR,IND,0,Literate,"Rs 19,02,15,000",Rs 0
4781,Ombir,SOUTH DELHI,Bharatiya Bahujan Party,0,12th Pass,"Rs 7,32,000",Rs 0
4782,Ombir,BHIWANI MAHENDRAGARH,Lok Parivartan Party(DC),0,10th Pass,"Rs 10,40,000",Rs 0
4783,Ombir Sharma,GURGAON,IND,0,10th Pass,"Rs 54,96,500",Rs 0
4784,Omkar Chauhan,GHAZIPUR,Janvadi Party(Socialist),0,Post Graduate,"Rs 75,762",Rs 0
4785,Omkar Nath,AKBARPUR,Al-Hind Party,0,Doctorate,"Rs 10,05,820",Rs 0
4786,Omkar Singh Markam,MANDLA,INC,0,Post Graduate,"Rs 96,18,675",Rs 0
4787,Ompal Singh,EAST DELHI,Kalyankari Jantantrik Party,0,Graduate,"Rs 90,63,978","Rs 5,50,000"
4788,Omprakash Alias Ambedkar,MACHHLISHAHR,IND,0,Post Graduate,"Rs 36,60,000","Rs 6,00,000"
4789,Omprakash Anandiprasad Shrivastav,SURAT,BSP,1,12th Pass,"Rs 5,56,081",Rs 0
4790,Omprakash Meshram,RAIPUR,Republican Paksha (Khoripa),0,Post Graduate,"Rs 2,64,000",Rs 0
4791,Omprakash Prajapati,KOLKATA DAKSHIN,BSP,1,10th Pass,"Rs 1,22,607",Rs 0
4792,Omprakash Rajbhar,BARRACKPUR,CPI(ML)L,0,5th Pass,"Rs 5,641",Rs 0
4793,Omprakash Shaw,BARRACKPUR,IND,0,12th Pass,"Rs 9,70,000",Rs 0
4794,Omprkash,HATHRAS,IND,0,8th Pass,"Rs 34,40,000",Rs 0
4795,Omraj Lokish Rathod,MUMBAI SOUTH,IND,0,Graduate Professional,"Rs 5,85,000",Rs 0
4796,Omveer,AONLA,Bhartiya Vikas Party,0,Literate,"Rs 2,11,000",Rs 0
4797,Onkar Singh,KURUKSHETRA,National Janhit Congress (AB),0,Literate,"Rs 1,34,40,157","Rs 6,73,667"
4798,Onkar Singh,SALEMPUR,Samajwadi Samaj Party,0,Post Graduate,"Rs 4,74,27,489","Rs 41,87,000"
4799,Otaram,JALORE,BSP,0,Graduate,"Rs 2,63,65,198","Rs 16,04,589"
