Sno,Candidate∇,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
1,A. B. A. Ghani Khan Choudhury,Malda,INC,1,Graduate,"Rs 41,15,704","Rs 41,87,744"
2,A. F. GOLAM OSMANI,Barpeta,INC,0,Graduate Professional,"Rs 10,05,000",Rs 0
3,A. NARENDRA,Medak,TRS,0,Graduate,"Rs 20,20,000","Rs 5,00,000"
4,A. R. ANTULAY,Kolaba,INC,0,Graduate Professional,"Rs 2,84,68,000",Rs 0
5,A.VENKATESH NAIK,Raichur,INC,0,12th Pass,"Rs 56,15,514","Rs 4,47,987"
6,AARON RASHID J. M.,Periyakulam,INC,0,10th Pass,"Rs 15,20,98,686","Rs 22,53,320"
7,ABDUL RASHID SHAHEEN,Baramulla,JKN,0,Post Graduate,"Rs 1,71,74,843","Rs 10,56,615"
8,Acharia Basudeb,Bankura,CPM,0,Post Graduate,"Rs 17,08,375",Rs 0
9,ADHALARAO PATIL SHIVAJIRAO,Khed,SHS,0,Post Graduate,"Rs 5,22,30,281","Rs 1,23,32,651"
10,Adhir Ranjan Chowdhury,Berhampore,INC,3,10th Pass,"Rs 1,93,95,174",Rs 0
11,ADITYA NATH,Gorakhpur,BJP,0,Graduate,"Rs 9,60,672",Rs 0
12,ADSUL ANANDRAO VITHOBA,Buldhana,SHS,2,Graduate,"Rs 2,06,30,019","Rs 61,11,246"
13,AFAJAL ANSARI,Ghazipur,SP,1,Post Graduate,"Rs 50,85,464","Rs 38,022"
14,AHIR VIKRAMBHAI,Jamnagar,INC,0,Graduate,"Rs 48,37,028","Rs 5,74,600"
15,AHIR HANSRAJ GANGARAM,Chandrapur,BJP,16,10th Pass,"Rs 26,53,960",Rs 0
16,Ajay Chakraborty,Basirhat,CPI,0,Graduate Professional,"Rs 72,18,672",Rs 0
17,AJAY MAKAN,New Delhi,INC,1,Post Graduate,"Rs 3,02,34,158","Rs 6,50,000"
18,AJIT JOGI,Mahasamund,INC,2,Graduate Professional,"Rs 88,35,009",Rs 0
19,AJIT KUMAR SINGH,Bikramganj,JD(U),0,Post Graduate,"Rs 1,43,62,110",Rs 0
20,AJIT SINGH,Baghpat,RLD,0,Post Graduate,"Rs 1,34,23,683","Rs 14,56,567"
21,AKHILES PRASAD SINGH,Motihari,RJD,0,Post Graduate,"Rs 36,69,358",Rs 0
22,AKHILESH YADAV,Kannauj,SP,0,Post Graduate,"Rs 2,31,42,705",Rs 0
23,AKSHAY PRATAP SINGH (GOPAL JI),Pratapgarh,SP,26,Literate,"Rs 21,69,847",Rs 0
24,Alakesh Das,Nabadwip,CPM,0,Post Graduate,"Rs 2,78,876","Rs 18,382"
25,ALEMAO CHURCHIL BRAZ,Mormugao,INC,1,12th Pass,"Rs 86,75,904","Rs 81,72,004"
26,ALOK KUMAR MEHTA,Samastipur,RJD,0,Graduate Professional,"Rs 67,94,434",Rs 0
27,AMBAREESH M. H.,Mandya,INC,0,Not Given,"Rs 73,94,819","Rs 3,21,600"
28,Amitava Nandy,Dum Dum,CPM,0,12th Pass,"Rs 29,35,137",Rs 0
29,ANANT GEETE,Ratnagiri,SHS,0,12th Pass,"Rs 55,18,754","Rs 12,00,000"
30,ANANT GUDHE,Amravati,SHS,0,Graduate,"Rs 35,32,477","Rs 2,17,263"
31,ANANTA NAYAK,Keonjhar,BJP,0,12th Pass,"Rs 8,18,420","Rs 69,086"
32,ANANTHA VENKATA RAMI REDDY,Anantapur,INC,0,Post Graduate,"Rs 38,90,000","Rs 4,37,636"
33,ANANTHKUMAR HEGDE,Kanara,BJP,3,12th Pass,"Rs 12,06,000","Rs 1,34,01,653"
34,ANGADI SURESH CHANABASAPPA,Belgaum,BJP,0,Graduate Professional,"Rs 4,74,66,695","Rs 88,52,490"
35,Anil Basu,Arambagh,CPM,0,Literate,"Rs 10,42,327",Rs 0
36,ANIRUDH PRASAD ALIAS SADHU YADAV,Gopalganj,RJD,3,Graduate,"Rs 52,34,219","Rs 4,43,268"
37,ANNASAHEB M. K. PATIL,Erandol,BJP,0,Post Graduate,"Rs 44,92,440","Rs 9,44,685"
38,ANNAYYAGARI SAI PRATHAP,Rajampet,INC,0,12th Pass,"Rs 97,09,190","Rs 11,60,909"
39,ANURADHA CHOUDHARY,Kairana,RLD,0,Graduate,"Rs 4,39,04,200",Rs 0
40,ANWAR HUSSAIN,Dhubri,INC,0,Graduate Professional,"Rs 5,58,467","Rs 2,25,000"
41,"APPADURAI, M.",Tenkasi,CPI,0,Graduate,"Rs 12,63,017",Rs 0
42,ARCHANA NAYAK,Kendrapara,BJD,0,Post Graduate,"Rs 3,84,400","Rs 32,000"
43,ARUNA KUMAR VUNDAVALLI,Rajahmundry,INC,2,Graduate Professional,"Rs 2,34,31,318","Rs 8,81,017"
44,ARVIND KUMAR SHARMA,Karnal,INC,0,Post Graduate,"Rs 57,36,332",Rs 0
45,ASADUDDIN OWAISI,Hyderabad,AIMIM,3,Graduate Professional,"Rs 39,02,342",Rs 0
46,ASHOK CHHAVIRAM ARGAL,Morena,BJP,2,12th Pass,"Rs 32,20,504","Rs 4,32,625"
47,ASHOK KUMAR PRADHAN,Khurja,BJP,0,Others,"Rs 1,15,89,733",Rs 0
48,ASHOK KUMAR RAWAT,Misrikh,BSP,0,Post Graduate,"Rs 14,19,108","Rs 3,26,547"
49,ATAL BIHARI VAJPAYEE,Lucknow,BJP,0,Post Graduate,"Rs 58,99,232",Rs 0
50,ATHAWALE RAMDAS BANDU,Pandharpur,RPI(A),0,Graduate,"Rs 26,56,172",Rs 0
51,ATIQUE AHAMAD,Phulpur,SP,36,8th Pass,"Rs 3,37,04,071",Rs 0
52,ATMA SINGH GILL,Sirsa,INC,0,5th Pass,"Rs 13,02,714","Rs 2,80,000"
53,AVINASH RAI KHANNA,Hoshiarpur,BJP,0,Graduate Professional,"Rs 16,23,665",Rs 0
54,AVTAR SINGH BHADANA,Faridabad,INC,0,8th Pass,"Rs 97,63,648",Rs 0
55,B. SUSHEELA,Jalore,BJP,0,Post Graduate,"Rs 96,29,204","Rs 9,04,335"
56,B.VINOD KUMAR,Hanamkonda,TRS,0,Graduate,"Rs 1,00,11,716",Rs 0
57,"BAALU, T. R.",Madras South,DMK,0,Graduate,"Rs 2,74,44,755",Rs 0
58,BABULAL MARANDI,Kodarma,BJP,0,Graduate,"Rs 5,00,000","Rs 4,60,000"
59,BADIGA RAMAKRISHNA,Machilipatnam,INC,0,12th Pass,"Rs 13,85,45,000","Rs 1,15,59,000"
60,BAGUN SUMBRAI,Singhbhum,INC,0,10th Pass,"Rs 45,32,035","Rs 2,00,000"
61,BAJU BAN RIYAN,Tripura East,CPM,0,Graduate,"Rs 11,88,586",Rs 0
62,BALASHOWRY VALLABHANENI,Tenali,INC,0,Graduate,"Rs 10,32,38,914","Rs 3,50,000"
63,BALESHWAR YADAV,Padrauna,National Loktantrik Party,0,Graduate,"Rs 69,07,100","Rs 5,00,000"
64,BALIRAM KASHYAP,Bastar,BJP,1,8th Pass,"Rs 18,65,382","Rs 1,77,442"
65,BARAD JASUBHAI DHANABHAI,Junagadh,INC,2,Graduate,"Rs 1,84,57,408",Rs 0
66,BASANAGOUDA R PATIL(YATNAL),Bijapur,BJP,2,Graduate,"Rs 56,03,503","Rs 12,00,000"
67,Basudeb Barman,Mathurapur,CPM,0,Post Graduate,"Rs 27,72,156",Rs 0
68,BELLARMIN. A. V.,Nagercoil,CPM,0,Post Graduate,"Rs 30,76,650",Rs 0
69,BENI PRASAD VERMA,Kaiserganj,SP,0,Graduate Professional,"Rs 41,12,560",Rs 0
70,BHALCHANDRA YADAVA,Khalilabad,BSP,10,Graduate,"Rs 6,51,000","Rs 2,60,630"
71,BHANU PRATAP SINGH VERMA,Jalaun,BJP,1,Post Graduate,"Rs 4,46,550","Rs 1,14,460"
72,BHANWAR SINGH DANGAWAS,Nagaur,BJP,0,12th Pass,"Rs 13,03,714",Rs 0
73,BHARTRUHARI MAHTAB,Cuttack,BJD,0,Post Graduate,"Rs 1,78,43,407","Rs 1,69,357"
74,BHAVANI RAJENTHIRAN. M. S. K.,Ramanathapuram,DMK,0,Post Graduate,"Rs 1,51,50,840","Rs 5,00,000"
75,BHUBNESHWAR PRASAD MEHTA,Hazaribagh,CPI,1,12th Pass,"Rs 9,70,342","Rs 2,50,000"
76,BHUPINDER SINGH,Rohtak,INC,1,Graduate Professional,"Rs 94,86,571","Rs 4,57,151"
77,BIJENDRA SINGH,Aligarh,INC,0,Graduate,"Rs 28,92,600",Rs 0
78,BIJOY KRISHNA HANDIQUE,Jorhat,INC,0,Post Graduate,"Rs 13,56,192",Rs 0
79,Bikash Chowdhury,Asansol,CPM,0,Not Given,"Rs 29,12,206",Rs 0
80,BIKRAM KESHARI DEO,Kalahandi,BJP,0,Graduate,"Rs 32,37,000","Rs 10,823"
81,Bir Singh Mahato,Purulia,AIFB,2,Post Graduate,"Rs 14,74,102","Rs 3,14,287"
82,BIREN SINGH ENGTI,Autonomous District,INC,0,Post Graduate,"Rs 53,89,194",Rs 0
83,BRAHMANANDA PANDA,Jagatsinghpur,BJD,0,Post Graduate,"Rs 59,82,315","Rs 53,760"
84,BRAJA KISHORE TRIPATHY,Puri,BJD,0,Post Graduate,"Rs 41,97,384",Rs 0
85,BRAJESH PATHAK,Unnao,BSP,4,Graduate Professional,"Rs 27,76,872","Rs 5,222"
86,BRIJ BHUSHAN SHARAN SINGH,Balrampur,BJP,2,Graduate Professional,"Rs 3,58,10,577",Rs 0
87,C. H. VIJAYASHANKAR,Mysore,BJP,0,Graduate Professional,"Rs 2,63,999","Rs 21,750"
88,C. K. CHANDRAPPAN,Trichur,CPI,0,Graduate,"Rs 88,12,606",Rs 0
89,C. S. SUJATHA,Mavelikara,CPM,4,Graduate Professional,"Rs 6,69,613","Rs 18,000"
90,CH. LAL SINGH,Udhampur,INC,0,Graduate,"Rs 54,00,000","Rs 5,00,000"
91,CH. MUNAWWAR HASAN,Muzaffarnagar,SP,1,10th Pass,"Rs 42,17,051",Rs 0
92,CHALAPATHIRAO PAPPALA,Anakapalli,TDP,0,Graduate,"Rs 53,96,505","Rs 2,46,000"
93,CHANDER KUMAR,Kangra,INC,0,Post Graduate,"Rs 73,04,760","Rs 19,16,918"
94,CHANDRA BHUSHAN SINGH (MUNNOO BABU),Farrukhabad,SP,0,Post Graduate,"Rs 95,94,069","Rs 7,68,000"
95,CHANDRA SEKHAR SAHU,Berhampur,INC,0,Graduate Professional,"Rs 14,19,000",Rs 0
96,CHANDRA SHEKHAR,Ballia,Samajwadi Janata Party (Rashtriya),0,Post Graduate,"Rs 40,35,983","Rs 11,45,552"
97,CHANDRA SHEKHAR DUBEY,Dhanbad,INC,0,10th Pass,"Rs 1,02,50,582","Rs 3,23,838"
98,CHANDRABHAN BHAIYA,Damoh,BJP,0,8th Pass,"Rs 1,03,48,557","Rs 3,25,874"
99,CHANDRADEO PRASAD RAJBHAR,Ghosi,SP,0,Post Graduate,"Rs 6,00,143",Rs 0
100,CHANDRAKANT KHAIRE,Aurangabad,SHS,13,Graduate,"Rs 93,33,773","Rs 60,43,722"
101,CHANDRAMANI TRIPATHI,Rewa,BJP,1,Graduate Professional,"Rs 10,62,399","Rs 40,000"
102,CHANDRAPAL SINGH YADAV,Jhansi,SP,1,Post Graduate,"Rs 53,07,820",Rs 0
103,CHANDRAPRATAP SINGH,Sidhi,BJP,0,12th Pass,"Rs 7,95,619","Rs 1,26,764"
104,CHARANJIT SINGH ATWAL,Phillaur,SAD,0,Graduate Professional,"Rs 1,64,69,765","Rs 7,10,013"
105,Chatterjee Somnath,Bolpur,CPM,0,Post Graduate,"Rs 1,05,51,015",Rs 0
106,CHAUDHARY TUSHARBHAI AMARSINHBHAI,Mandvi,INC,0,Graduate Professional,"Rs 18,17,815","Rs 4,00,372"
107,CHAURE BAPU HARI,Dhule,INC,1,Graduate,"Rs 30,39,824",Rs 0
108,CHAVDA HARISINHAJI PRATAPSINHAJI,Banaskantha,INC,1,10th Pass,"Rs 1,76,93,895",Rs 0
109,CHENGARA SURENDRAN,Adoor,CPI,0,Graduate,"Rs 6,274","Rs 41,438"
110,CHHATAR SINGH DARBAR,Dhar,BJP,1,Post Graduate,"Rs 28,85,302","Rs 2,71,133"
111,"CHIDAMBARAM, P.",Sivaganga,INC,0,Post Graduate,"Rs 17,98,61,587",Rs 0
112,CHINTA MOHAN,Tirupathi,INC,0,Graduate Professional,"Rs 39,82,900","Rs 13,25,256"
113,"CHITTHAN, N. S. V.",Dindigul,INC,0,Graduate,"Rs 1,32,47,227","Rs 8,75,536"
114,D. C. SRIKANTAPPA,Chikmagalur,BJP,0,10th Pass,"Rs 60,69,785",Rs 0
115,D. V. SADANANDA GOWDA,Mangalore,BJP,0,Graduate Professional,"Rs 46,39,359","Rs 9,68,423"
116,D. VITTAL RAO,Mahabubnagar,INC,0,Graduate,"Rs 6,50,75,830","Rs 30,00,000"
117,D.K. AUDIKESAVULU,Chittoor,TDP,0,Not Given,"Rs 67,05,76,468",Rs 0
118,DAGGUBATI PURANDARESWARI,Bapatla,INC,0,Others,"Rs 4,09,07,640","Rs 52,12,201"
119,DALPAT SINGH PARASTE,Shahdol,BJP,0,Graduate,"Rs 68,11,000",Rs 0
120,DANVE RAOSAHEB DADARAO PATIL,Jalna,BJP,0,12th Pass,"Rs 96,81,004","Rs 7,15,955"
121,DAROGA PRASAD SAROJ,Lalganj,SP,1,Graduate,"Rs 6,14,485","Rs 1,30,918"
122,Dawa Narbula,Darjeeling,INC,0,Post Graduate,"Rs 70,65,000","Rs 2,00,000"
123,DAYANIDHI MARAN,Madras Central,DMK,0,Graduate,"Rs 1,44,20,628",Rs 0
124,DELKAR MOHANBHAI SANJIBHAI,Dadra & Nagar Haveli,BNP,0,12th Pass,"Rs 2,86,19,160","Rs 12,96,271"
125,DESHMUKH SUBHASH SURESHCHANDRA,Sholapur,BJP,0,10th Pass,"Rs 3,74,95,282","Rs 64,522"
126,DEVENDRA PRASAD YADAV,Jhanjharpur,RJD,0,Graduate,"Rs 11,37,321","Rs 2,45,123"
127,DHAN SINGH RAWAT,Banswara,BJP,2,Graduate Professional,"Rs 19,05,788","Rs 2,50,000"
128,DHANARAJU. K,Tindivanam,PMK,0,Doctorate,"Rs 26,58,860",Rs 0
129,DHANI RAM SHANDIL,Simla,INC,0,Doctorate,"Rs 92,72,958",Rs 958
130,"DHANUSKODI ATHITHAN, R.",Tirunelveli,INC,1,Post Graduate,"Rs 1,63,22,132","Rs 55,73,213"
131,DHARMENDRA,Bikaner,BJP,0,12th Pass,"Rs 23,03,26,000","Rs 54,28,225"
132,DHARMENDRA PRADHAN,Deogarh,BJP,0,Post Graduate,"Rs 4,76,756","Rs 3,06,250"
133,DHIRENDRA AGARWAL,Chatra,RJD,1,Doctorate,"Rs 2,80,85,948","Rs 7,50,000"
134,DHOTRE SANJAY SHAMRAO,Akola,BJP,0,Graduate Professional,"Rs 1,22,89,645","Rs 24,08,285"
135,DINSHA PATEL,Kaira,INC,0,10th Pass,"Rs 57,27,475","Rs 30,83,830"
136,DIP GOGOI,Kaliabor,INC,0,Graduate,"Rs 3,42,751",Rs 0
137,DR LAXMINARAYAN PANDEYA,Mandsaur,BJP,0,Post Graduate,"Rs 26,50,506","Rs 7,26,872"
138,DR. ARUN KUMAR SARMAH,Lakhimpur,AGP,0,Not Given,"Rs 14,67,028",Rs 0
139,DR. H.T. SANGLIANA,Bangalore North,BJP,0,Graduate,"Rs 76,66,050",Rs 0
140,DR. K. S. MANOJ,Alleppey,CPM,0,Doctorate,"Rs 8,00,231","Rs 54,317"
141,DR. KARAN SINGH YADAV,Alwar,INC,0,Post Graduate,"Rs 40,23,529","Rs 10,22,864"
142,DR. KATHIRIA VALLABHBHAI RAMJIBHAI,Rajkot,BJP,0,Graduate Professional,"Rs 79,71,781","Rs 1,10,729"
143,DR. P. POOKUNHIKOYA,Lakshadweep,JD(U),0,Graduate Professional,"Rs 39,45,099","Rs 1,03,145"
144,DR. RAJESH KUMAR MISHRA,Varanasi,INC,0,Not Given,"Rs 12,41,800","Rs 4,00,000"
145,DR. RAMKRISHNA KUSHMARIYA ( BABA JEE ),Khajuraho,BJP,0,Doctorate,"Rs 51,83,173","Rs 9,86,766"
146,DR. RAMLAKHAN SINGH,Bhind,BJP,1,Graduate Professional,"Rs 57,74,939","Rs 2,84,945"
147,DR. SATYANARAYAN JATIYA,Ujjain,BJP,0,Doctorate,"Rs 27,94,387",Rs 0
148,DR. SEBASTIAN PAUL,Ernakulam,IND,0,Doctorate,"Rs 29,93,000","Rs 7,64,304"
149,DR. SHAFIQURRAHMAN BARQ,Moradabad,SP,0,Graduate,"Rs 13,49,151",Rs 0
150,DR. SHAKEEL AHMAD,Madhubani,INC,0,Graduate Professional,"Rs 18,59,000","Rs 3,00,000"
151,DR. THOKCHOM MEINYA,Inner Manipur,INC,0,Doctorate,"Rs 11,07,278","Rs 80,660"
152,DR.MANDA JAGANNATH,Nagarkurnool,TDP,0,Post Graduate,"Rs 65,45,314","Rs 23,39,000"
153,DUSHYANT SINGH,Jhalawar,BJP,0,Post Graduate,"Rs 70,82,067",Rs 0
154,E. V. ALIAS BALASAHEB VIKHE PATIL,Kopargaon,INC,0,10th Pass,"Rs 3,69,37,860","Rs 7,64,653"
155,EKNATH M. GAIKWAD,Mumbai North Central,INC,0,10th Pass,"Rs 20,45,861",Rs 0
156,"ELANGOVAN, E. V. K. S.",Gobichettipalayam,INC,13,Graduate,"Rs 50,31,000",Rs 0
157,FAGGAN SINGH KULASTE,Mandla,BJP,0,Post Graduate,"Rs 30,91,035",Rs 0
158,FURKAN ANSARI,Godda,INC,3,Graduate,"Rs 14,99,897","Rs 8,00,000"
159,G. KARUNAKARA REDDY,Bellary,BJP,0,Graduate,"Rs 1,09,30,950","Rs 4,16,228"
160,G. VENKAT SWAMY,Peddapalli,INC,0,10th Pass,"Rs 1,94,64,700",Rs 0
161,G.M. SIDDESWARA,Davangere,BJP,0,10th Pass,"Rs 5,02,82,989",Rs 0
162,GADAKH TUKARAM GANGADHAR,Ahmednagar,NCP,2,Graduate,"Rs 2,34,46,680","Rs 46,80,000"
163,GADDIGOUDAR PARVATAGOUDA CHANDANAGOUDA,Bagalkot,BJP,0,Graduate Professional,"Rs 53,75,000","Rs 10,00,000"
164,GADHAVI PUSHPADAN SHAMBHUDAN,Kutch,BJP,0,Graduate Professional,"Rs 97,30,221","Rs 7,19,633"
165,GANESAN. L,Tiruchirappalli,MDMK,2,Graduate Professional,"Rs 19,00,000",Rs 0
166,GANESH PRASAD SINGH,Jahanabad,RJD,0,Post Graduate,"Rs 89,90,298","Rs 2,94,350"
167,GANESH SINGH,Satna,BJP,2,Post Graduate,"Rs 25,48,143","Rs 2,36,038"
168,GAURI SHANKAR CHATURBHUJ BISEN,Balaghat,BJP,0,Post Graduate,"Rs 96,67,350","Rs 14,91,190"
169,GAWALI (PATIL) KU. BHAVANA PUNDLIKRAO,Washim,SHS,1,Graduate,"Rs 1,88,08,750","Rs 7,48,904"
170,GEORGE FERNANDES,Muzaffarpur,JD(U),0,Others,"Rs 3,39,87,410",Rs 0
171,GIRDHARI LAL BHARGAVA,Jaipur,BJP,0,Graduate Professional,"Rs 1,42,48,322","Rs 1,96,196"
172,GIRIDHAR GAMANG,Koraput,INC,0,Graduate,"Rs 4,59,812",Rs 0
173,GIRIDHARI YADAV,Banka,RJD,0,Post Graduate,"Rs 28,41,000","Rs 3,51,513"
174,GOVINDA,Mumbai North,INC,1,Graduate,"Rs 14,52,98,405","Rs 2,50,00,000"
175,GUHARAM AJGALLE,Sarangarh,BJP,0,Graduate Professional,"Rs 17,68,900",Rs 0
176,Gurudas Dasgupta,Panskura,CPI,0,Post Graduate,"Rs 36,68,778",Rs 0
