Sno,Candidate∇,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
267,MAHENDRA PRASAD NISHAD,Fatehpur,BSP,0,Graduate,"Rs 10,82,468","Rs 56,554"
268,MAJ. GEN. ( RETD) BHUWAN CHANDRA KHANDURI (AVSM),Garhwal,BJP,0,Graduate Professional,"Rs 72,42,679",Rs 0
269,Mamata Banerjee,Calcutta South,AITC,0,Post Graduate,"Rs 3,75,489",Rs 0
270,MANABENDRA SHAH,Tehri Garhwal,BJP,0,12th Pass,"Rs 34,75,63,683",Rs 0
271,MANDLIK SADASHIVRAO DADOBA,Kolhapur,NCP,2,Graduate,"Rs 88,42,586","Rs 9,86,985"
272,MANE NIVEDITA SAMBHAJIRAO,Ichalkaranji,NCP,0,Graduate,"Rs 79,13,845","Rs 3,87,564"
273,MANEKA GANDHI,Pilibhit,BJP,0,12th Pass,"Rs 6,67,63,700",Rs 0
274,MANI CHARENAMEI,Outer Manipur,IND,0,Graduate,"Rs 2,05,000",Rs 0
275,MANI SHANKAR AIYAR,Mayiladuturai,INC,0,Post Graduate,"Rs 1,93,91,699","Rs 3,80,411"
276,MANOJ KUMAR,Palamau,RJD,0,Graduate,"Rs 18,25,000","Rs 1,25,000"
277,MANORAMA MADHWARAJ,Udupi,BJP,0,Graduate,"Rs 1,37,51,985","Rs 27,00,000"
278,MANORANJAN BHAKTA,Andaman & Nicobar Islands,INC,0,Post Graduate,"Rs 59,26,740","Rs 2,72,061"
279,MANVENDRA SINGH,Barmer,BJP,0,Post Graduate,"Rs 46,56,839","Rs 73,531"
280,MANVENDRA SINGH,Mathura,INC,0,12th Pass,"Rs 1,53,87,530","Rs 2,81,228"
281,MAYAWATI,Akbarpur,BSP,1,Graduate Professional,"Rs 11,35,44,000",Rs 0
282,MD. ALI ASHRAF FATMI,Darbhanga,RJD,0,Post Graduate,"Rs 20,71,240","Rs 5,45,183"
283,Md. Salim,Calcutta North East,CPM,0,Post Graduate,"Rs 31,09,485",Rs 0
284,MEHBOOBA MUFTI,Anantnag,JKPDP,0,Graduate Professional,"Rs 4,50,000",Rs 0
285,MEIRA KUMAR,Sasaram,INC,0,Post Graduate,"Rs 2,89,56,730","Rs 36,00,000"
286,MEKAPATI RAJAMOHAN REDDY,Narasaraopet,INC,0,Graduate Professional,"Rs 6,39,61,169",Rs 0
287,MIDIYAM BABU RAO,Bhadrachalam,CPM,0,Graduate Professional,"Rs 5,42,000","Rs 1,30,000"
288,Minati Sen,Jalpaiguri,CPM,0,Graduate Professional,"Rs 17,11,703","Rs 47,377"
289,MITRASEN,Faizabad,BSP,27,12th Pass,"Rs 53,80,516","Rs 3,18,855"
