Sno,Candidate?,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
4316,NANDKISHOR NARAYANRAO THAKARE,Yavatmal-Washim,IND,0,12th Pass,"Rs 4,85,000",Rs 0
4317,NANDKISHOR SADHUJI DONGRE,Ramtek,GGP,0,12th Pass,"Rs 6,52,000",Rs 0
4318,NANDKUMAR SING CHAUHAN NANDU BHAIYA,Khandwa,BJP,0,Graduate,"Rs 95,56,053","Rs 17,17,969"
4319,NANDLAL,Bhadohi,VP,0,Literate,"Rs 6,965",Rs 0
4320,NANDLAL,Ghazipur,Ambedkar Samaj Party,0,12th Pass,"Rs 1,64,000",Rs 0
4321,NANDLAL SOREN,Dumka,IND,0,10th Pass,"Rs 12,67,000",Rs 0
4322,NANDLAL YADAV,Godda,SP,1,10th Pass,"Rs 10,69,053","Rs 12,51,638"
4323,NANJIBHAI BHANJIBHAI SARESA,Kachchh,IND,0,Literate,"Rs 6,32,000",Rs 0
4324,NANJIBHAI MADHABHAI GOHIL,Bhavnagar,RPI(A),3,Literate,"Rs 1,000",Rs 0
4325,NANNAWARE CHAITANYA PANDIT,Jalgaon,PRCP,0,12th Pass,Nil,Rs 0
4326,NANNE LAL,Damoh,IND,0,5th Pass,"Rs 75,500",Rs 0
4327,"NAPOLEON,D.",Perambalur,DMK,0,Graduate,"Rs 19,14,19,973","Rs 2,82,70,000"
4328,NAR BAHADUR KHATIWADA,Sikkim,SGPP,0,Graduate Professional,"Rs 2,47,26,123","Rs 23,00,000"
4329,NARACINVA SURYA SALGAONKAR,North Goa,IND,0,8th Pass,"Rs 5,98,350","Rs 1,30,000"
4330,Narad Khothaliya,Rajnandgaon,CGVP,0,5th Pass,"Rs 18,300",Rs 0
4331,Narad Nishad,Raipur,IND,0,Not Given,"Rs 8,32,500",Rs 0
4332,NARAD PANDIT,Howrah,IND,0,Graduate Professional,"Rs 92,000",Rs 0
4333,Narahari Mahato,Purulia,AIFB,0,Post Graduate,"Rs 30,86,000","Rs 4,00,000"
4334,NARAIN SINGH,Gurdaspur,IND,3,Post Graduate,"Rs 4,00,46,225",Rs 0
4335,NARAMALLI SIVAPRASAD,Chittoor,TDP,0,Graduate Professional,"Rs 60,11,000",Rs 0
4336,NARANBHAI BHIKHABHAI KACHHADIYA,Amreli,BJP,0,5th Pass,"Rs 47,48,283","Rs 3,00,000"
4337,NARANBHAI JEMLABHAI RATHWA,Chhota Udaipur,INC,0,Graduate,"Rs 1,27,02,727","Rs 9,52,838"
4338,NARANBHAI KEHARBHAI BHATIA,Surendranagar,IND,0,Literate,"Rs 15,45,000",Rs 0
4339,NARANBHAI PRAGDASBHAI PATEL,Patan,MJP,0,Graduate,"Rs 5,46,98,891","Rs 5,00,000"
4340,NARANBHAI TULSIDAS SENGAL,Ahmedabad East,Loktantrik Samajwadi Party,0,10th Pass,"Rs 25,200","Rs 20,000"
4341,NARAPAT SINGH RATHOR,Jhunjhunu,IND,0,8th Pass,"Rs 16,06,400","Rs 37,000"
4342,NARASAPPA TIPPANNA BANDIWADDAR,Bijapur,SKP,0,5th Pass,"Rs 3,50,000","Rs 60,000"
4343,NARASINGHA MISHRA,Bolangir,INC,0,Graduate Professional,"Rs 1,24,30,984","Rs 2,90,933"
4344,NARAYAN ANAND ROKADE,Mumbai North East,IND,0,5th Pass,Nil,Rs 0
4345,Narayan Chandra Samat,Ghatal,BSP,1,12th Pass,"Rs 4,29,034","Rs 3,40,000"
4346,Narayan Das Inqalab Gandhi,Mahasamund,IND,0,Graduate Professional,"Rs 21,70,000",Rs 0
4347,NARAYAN KUMAR,Kannauj,RDMP,0,Graduate,"Rs 3,13,196",Rs 0
4348,NARAYAN MANDAL,Supaul,SHS,0,12th Pass,"Rs 36,71,600",Rs 0
4349,NARAYAN PAL,Nainital-Udhamsingh Nagar,BSP,0,Not Given,Nil,Rs 0
4350,NARAYAN PRASAD HISARIYA,Begusarai,IND,3,10th Pass,"Rs 13,38,890",Rs 0
4351,NARAYAN RAJBHAR,Ballia,BSD,1,Graduate,"Rs 47,000",Rs 0
4352,NARAYAN RAM,Banka,IND,0,Post Graduate,"Rs 4,21,000",Rs 0
4353,NARAYAN SURYAVANSHI DOANGONKAR,Nanded,IND,1,Others,"Rs 33,70,000",Rs 0
4354,NARAYANAN R,Vellore,Akila India Vallalar Peravai,0,12th Pass,"Rs 30,000",Rs 0
4355,NARAYANASAMY,Pondicherry,INC,0,Post Graduate,"Rs 3,59,79,157","Rs 21,71,758"
4356,NARAYANASWAMY,Kolar,IND,0,Not Given,"Rs 25,97,100",Rs 0
4357,NARAYANKAR RAJENDRA BABURAO,Solapur,IND,0,10th Pass,"Rs 77,340",Rs 0
4358,NARAYANRAO RAMJI CHIDAM,Wardha,GGP,0,Literate,"Rs 42,87,000",Rs 0
4359,NARAYANSINGH AMLABE,Rajgarh,INC,0,12th Pass,"Rs 38,08,133","Rs 1,61,617"
4360,Narendar Kumbala,Malkajgiri,BPD,0,Post Graduate,"Rs 1,20,000",Rs 0
4361,NARENDER KUMAR,Ambala,IND,0,12th Pass,"Rs 6,43,000",Rs 0
4362,NARENDER PAL,Sirsa,IND,0,12th Pass,"Rs 3,61,600",Rs 0
4363,NARENDER PAL KASHYAP,North West Delhi,IND,0,10th Pass,"Rs 21,21,500","Rs 4,650"
4364,NARENDER SAROHA,Karnal,IND,0,Not Given,"Rs 5,84,000",Rs 0
4365,NARENDER SINGH,Bhiwani-Mahendragarh,HJC(BL),0,Graduate Professional,"Rs 1,51,14,239","Rs 5,01,458"
4366,NARENDER SINGH,Chandni Chowk,BSKRP,0,Post Graduate,"Rs 1,05,722",Rs 0
4367,Narendra Bhishmdev Dhidhi,Mahasamund,IND,0,Graduate Professional,"Rs 24,82,000",Rs 0
4368,Narendra Hansda,Mayurbhanj,IND,0,10th Pass,"Rs 32,000",Rs 0
4369,NARENDRA KUMAR,Khajuraho,IND,0,Post Graduate,"Rs 42,02,000",Rs 0
4370,NARENDRA KUMAR,Muzaffarnagar,IND,0,8th Pass,"Rs 1,05,592",Rs 0
4371,NARENDRA KUMAR SINGH ALIAS BOGO SINGH,Begusarai,IND,11,Post Graduate,"Rs 1,11,37,075","Rs 13,12,448"
4372,NARENDRA KUMAR TEWARI,Allahabad,IND,0,12th Pass,"Rs 2,23,220",Rs 0
4373,NARENDRA NATH DUBEY,Varanasi,IND,0,Post Graduate,"Rs 20,15,023",Rs 0
4374,NARENDRA NATH MANDAL,Uluberia,BSP,0,Graduate Professional,"Rs 27,26,000",Rs 0
4375,NARENDRA PRASAD,Dhaurahra,IND,0,12th Pass,"Rs 10,03,000",Rs 0
4376,NARENDRA SINGH,Morena,IND,0,12th Pass,"Rs 4,71,000",Rs 0
4377,NARENDRA SINGH,Gonda,IND,0,12th Pass,"Rs 6,25,000",Rs 0
4378,NARENDRA SINGH BHATTI,Gautam Budhha Nagar,SP,1,12th Pass,"Rs 2,15,45,679",Rs 0
4379,NARENDRA SINGH TOMAR,Morena,BJP,0,Graduate,"Rs 34,53,203","Rs 17,80,000"
4380,NARENDRA WAMAN MORE,Kalyan,IND,0,Graduate,"Rs 15,000",Rs 0
4381,Narendranath Chaganla,Medak,INC,0,12th Pass,"Rs 56,22,90,014","Rs 89,77,996"
4382,NARENDRASINH MANSINH SANKHALIYA,Ahmedabad West,Loktantrik Samajwadi Party,1,Graduate,"Rs 2,68,467",Rs 0
4383,NARENDRASINH RANDHIRSINH VASHI,Bharuch,Loktantrik Samajwadi Party,0,10th Pass,"Rs 1,44,000",Rs 0
4384,NARENDRASINH TAPUBHA JADEJA,Rajkot,RKSP,0,10th Pass,"Rs 3,60,000",Rs 0
4385,NARESH,Fatehpur Sikri,IND,0,Literate,"Rs 2,62,055",Rs 0
4386,Naresh BhishmdevDhidhi,Raipur,IND,0,Graduate Professional,"Rs 7,95,000",Rs 0
4387,NARESH CHANDER PAL,New Delhi,BSKRP,0,12th Pass,"Rs 32,81,000","Rs 29,000"
4388,NARESH DOGRA,Jammu,IND,0,12th Pass,"Rs 19,99,802","Rs 1,62,000"
4389,NARESH DOGRA,Udhampur,IND,0,12th Pass,"Rs 19,99,802","Rs 1,62,000"
4390,Naresh Kumar,Hindupur,BJP,0,10th Pass,"Rs 6,96,65,000","Rs 36,00,000"
4391,NARESH KUMAR PASWAN,Palamau,IND,0,Not Given,"Rs 4,38,200",Rs 0
4392,NARESH KUMAR YUVNATI,Chhindwara,IND,0,10th Pass,"Rs 1,57,000",Rs 0
4393,NARESH MAHTO,Munger,IND,0,12th Pass,"Rs 25,000",Rs 0
4394,NARESH PASWAN,Nalanda,IND,0,Graduate,"Rs 18,00,000",Rs 0
4395,NARESH SINGH BHADAURIYA,Amritsar,IND,1,Graduate,"Rs 1,91,10,000",Rs 0
4396,NARESH YADAV,Gurgaon,IND,2,10th Pass,"Rs 8,00,000",Rs 0
4397,NARESHBHAI NANJIBHAI BATHWAR,Surat,RPI(A),0,Graduate,Nil,Rs 0
4398,NARESHBHAI NANJIBHAI SONANI,Bhavnagar,IND,0,Literate,"Rs 1,32,407",Rs 0
4399,NARESHKUMAR BHAGVANBHAI PATEL,Bharuch,MJP,0,Graduate,"Rs 2,81,73,444","Rs 1,37,588"
4400,NARGIS MOUSI,Khandwa,IJP,0,Literate,"Rs 8,30,000",Rs 0
4401,NARINDER THAKUR,Hamirpur,INC,0,Post Graduate,"Rs 71,15,000","Rs 3,964"
4402,Naroth Ramachandran,Vadakara,IND,0,5th Pass,"Rs 7,30,250","Rs 30,000"
4403,Narsappa,Bidar,IND,0,Not Given,Nil,Rs 0
4404,NARSINGH PATEL,Fatehpur,IND,5,Post Graduate,"Rs 28,85,000",Rs 0
4405,NARVIR SINGH,Gurgaon,HJC(BL),0,Graduate,"Rs 19,84,87,305",Rs 0
4406,NASREEN BANO,Faizabad,IND,0,8th Pass,"Rs 38,49,500",Rs 0
4407,NASRIN BEGUM,Chandni Chowk,IND,0,10th Pass,Nil,Rs 0
4408,NASYAM MOHAMMED FAROOK,Nandyal,TDP,0,10th Pass,"Rs 2,91,70,000",Rs 0
4409,NATARAJAN L,Coimbatore,IND,0,8th Pass,"Rs 35,000",Rs 0
4410,NATARAJAN.P.R.,Coimbatore,CPM,0,Graduate,"Rs 17,67,722",Rs 0
4411,NATARAJAN.R,Karur,KNMK,0,Graduate Professional,"Rs 9,18,16,000","Rs 1,43,48,605"
4412,NATAWADKAR SUHAS JYANT,Nandurbar,BJP,0,Graduate Professional,"Rs 1,08,09,796",Rs 0
4413,NATHABHAI JIVABHAI JADEJA,Porbandar,IJP,1,Literate,"Rs 2,03,000","Rs 5,350"
4414,NATHABHAI VALLABHBHAI SUKHADIA,Amreli,IND,1,Literate,"Rs 5,25,000","Rs 70,000"
4415,NATHLU RAM,Saharanpur,IND,0,Doctorate,"Rs 10,95,000",Rs 0
4416,NATHU RAM,Faridkot,IND,0,5th Pass,"Rs 1,00,000",Rs 0
4417,NATHUNI YADAV,Jhanjharpur,IND,0,10th Pass,"Rs 4,18,339",Rs 0
4418,NATHURAM VERMA LOHIA,Jalaun,NCP,0,8th Pass,"Rs 32,85,000",Rs 0
4419,NATHUSINGH CHAUHAN,Khandwa,IND,0,Literate,"Rs 25,85,500",Rs 0
4420,NATRAJAN P,Vellore,IND,1,10th Pass,"Rs 85,50,000",Rs 0
4421,NATTHILAL,Aligarh,IND,0,Post Graduate,"Rs 43,38,000","Rs 1,00,000"
4422,NATTHU RAM,Hardwar,IND,0,5th Pass,"Rs 8,84,500",Rs 0
4423,NATTHU SINGH,Moradabad,IND,0,12th Pass,"Rs 83,71,860",Rs 0
4424,NAUSHAD ANSAR SHAIKH,Ahmednagar,IND,0,Not Given,Nil,Rs 0
4425,NAV VIKAS,Jalandhar,LJP,0,12th Pass,"Rs 25,65,500",Rs 0
4426,NAVALMANI.A.N,Namakkal,IND,0,5th Pass,Nil,Rs 0
4427,NAVAPROKASH SONOWAL,Jorhat,IND,0,10th Pass,"Rs 10,73,685",Rs 0
4428,NAVARATTHINAM A,Kallakurichi,IND,0,Literate,"Rs 3,50,000",Rs 0
4429,NAVEEN,Gurgaon,IND,0,Graduate Professional,"Rs 51,00,000",Rs 0
4430,NAVEEN JINDAL,Kurukshetra,INC,0,Post Graduate,"Rs 1,31,07,30,000",Rs 0
4431,NAVGHARE ANAND PANDURANG,Nanded,IND,0,10th Pass,"Rs 14,00,000",Rs 0
4432,Navin Gupta,Raipur,IND,0,12th Pass,"Rs 92,69,334","Rs 2,86,000"
4433,NavinKumar Verma,Nawada,IND,0,Graduate,"Rs 1,47,435","Rs 18,000"
4434,NAVJOT SINGH SIDHU,Amritsar,BJP,1,Graduate,"Rs 14,50,37,236",Rs 0
4435,NAVNEET,Bathinda,SHS,0,12th Pass,"Rs 6,11,000","Rs 2,25,000"
4436,NAVUNDRU RAJENDRA PRASAD,Narsapuram,BSSP,0,10th Pass,"Rs 7,99,500",Rs 0
4437,NAWAB ALI,Muzaffarnagar,NLHP,0,10th Pass,"Rs 13,80,000","Rs 1,50,000"
4438,Nawal Kishor Singh,Lohardaga,IND,0,8th Pass,"Rs 7,40,000",Rs 0
4439,NAYANBHAI HASMUKHBHAI UPADHYAY,Rajkot,IND,0,10th Pass,Nil,Rs 0
4440,Nazeeruddin,Nalgonda,BSP,0,Graduate,"Rs 4,76,517",Rs 0
4441,NAZIR AHMAD BHAT,Anantnag,IND,0,10th Pass,"Rs 10,000","Rs 75,000"
4442,NAZRUL HAQUE MAZARBHUIYAN,Nowgong,IND,0,Post Graduate,"Rs 18,32,000","Rs 1,00,000"
4443,Nazrul Haque Mazarbhuiyan,Silchar,IND,0,Post Graduate,"Rs 5,40,64,000","Rs 1,53,000"
4444,Neal Tirki,Khunti,INC,3,Graduate,"Rs 44,59,905","Rs 2,49,878"
4445,NEEL KANWAL ALIAS NEELAM AGGARWAL,Bhiwani-Mahendragarh,SMBHP,0,Post Graduate,"Rs 8,74,96,038",Rs 0
4446,NEELAM SONKAR,Lalganj,BJP,0,Post Graduate,"Rs 1,15,55,274","Rs 13,00,000"
4447,NEELAMEGAM.M,Tiruchirappalli,SP,0,Graduate Professional,"Rs 1,53,300",Rs 0
4448,Neelkanth Ware,Janjgir-Champa,CSP,0,10th Pass,"Rs 3,75,000",Rs 0
4449,NEELU SINGH,Muzaffarpur,PTSS,0,Post Graduate,"Rs 3,76,406",Rs 0
4450,NEERAJ KUMAR NIRALA,Hamirpur,IND,0,12th Pass,"Rs 90,10,000",Rs 0
4451,NEERAJ SHEKHAR,Ballia,SP,0,Graduate,"Rs 2,77,18,262","Rs 1,51,00,000"
4452,NEERAJ YADAV,Gorakhpur,IND,0,12th Pass,"Rs 46,60,000",Rs 0
4453,neeruram,Rajsamand,BSP,0,10th Pass,"Rs 24,60,000",Rs 0
4454,NEHA CHAUHAN,Khagaria,IND,2,Post Graduate,"Rs 5,78,000",Rs 0
4455,Nepal Das,Medinipur,JMM,0,12th Pass,"Rs 3,98,946",Rs 0
4456,NET RAM,Jhunjhunu,RRD,0,Post Graduate,"Rs 21,72,040",Rs 0
4457,NETAJI SITARAMJI KINAKE,Yavatmal-Washim,IND,0,Graduate,"Rs 50,000",Rs 0
4458,Nidhi Kirti,Siwan,IND,0,Graduate,"Rs 42,500",Rs 0
4459,NIDHI TYAGI,Amroha,SHS,1,Graduate,"Rs 29,75,690","Rs 1,65,000"
4460,NIHAL AHMED MOLVI. MOHAMMED USMAN,Dhule,JD(S),30,10th Pass,"Rs 4,40,93,626","Rs 7,590"
4461,NIHAL CHAND,Ganganagar,BJP,0,Graduate,"Rs 33,40,188",Rs 0
4462,NIHAL CHAND,Jaipur,Rajasthan Vikas Party,0,Graduate,"Rs 1,32,87,000","Rs 56,000"
4463,NIHAR HAZRA,Bolpur,IND,0,Graduate,"Rs 92,472",Rs 0
4464,NIHARIKA BORPATRA GOHAIN GOGOI,Dibrugarh,JMM,0,Graduate,"Rs 3,53,000",Rs 0
4465,NIKALJE SHEELATAI MAHENDRA,Beed,PRCP,0,Graduate,"Rs 10,07,000","Rs 2,25,000"
4466,NIKAM VIKAS SAKHARAM,Bhiwandi,IND,0,Graduate,"Rs 4,45,000","Rs 15,000"
4467,Nikhil Kumar,Aurangabad,INC,0,Post Graduate,"Rs 4,95,38,249","Rs 17,74,038"
4468,NIKHIL KUMAR CHOUDHARY,Katihar,BJP,4,Graduate,"Rs 80,18,754","Rs 8,02,308"
4469,NIKHILESH DHURVEY,Chhindwara,IND,0,Post Graduate,"Rs 1,85,000",Rs 0
4470,NILABEN JAYSUKHBHAI THUMAR,Amreli,IND,0,Literate,"Rs 1,28,000",Rs 0
4471,NILABEN VIRJIBHAI THUMAR,Amreli,INC,0,Graduate,"Rs 1,26,55,811","Rs 38,218"
4472,Niladri Behari Panda,Bargarh,KOKD,1,Graduate Professional,"Rs 7,43,000","Rs 5,33,200"
4473,NILANGAEKAR AVINASH MADHUKARRAO,Latur,IND,0,Graduate,"Rs 1,61,756",Rs 0
4474,NILMANI DEB,Tripura West,BJP,0,Graduate,"Rs 26,16,787",Rs 0
4475,NIMAI BARMAN,Jaynagar,RSP,2,Graduate,"Rs 28,29,454","Rs 1,28,000"
4476,NINAD MANJARDEKAR,Mumbai North West,IND,0,Post Graduate,"Rs 43,64,026","Rs 1,531"
4477,NINONG ERING,Arunachal East,INC,0,Graduate,"Rs 10,43,20,000","Rs 12,51,784"
4478,Nirakar Behera,Berhampur,Kalinga Sena,0,10th Pass,"Rs 8,50,000","Rs 7,50,000"
4479,Niranam Rajan,Pathanamthitta,IND,0,Graduate,"Rs 7,000","Rs 2,00,000"
4480,NIRANJAN BABU. K,Hindupur,LSP,0,Graduate Professional,"Rs 20,000",Rs 0
4481,Niranjan Barman,Coochbehar,BSP,1,8th Pass,"Rs 80,276",Rs 0
4482,Niranjan Kumar,Gaya,CPI(ML)(L),0,Graduate,"Rs 5,30,000",Rs 0
4483,NIRANJAN PRASAD YADAV,Godda,RWS,0,Post Graduate,"Rs 1,80,000",Rs 0
4484,Niranjan Saha,Darjeeling,Amra Bangalee,0,Graduate,"Rs 1,53,000",Rs 0
4485,NIRANJANA C.S,Tumkur,IND,0,Post Graduate,"Rs 6,51,000",Rs 0
4486,NIRANRAN PRASAD,Gorakhpur,IND,0,Not Given,"Rs 40,000",Rs 0
4487,NIRMAL KHATRI,Faizabad,INC,0,Doctorate,"Rs 66,70,000","Rs 5,771"
4488,NIRMAL KUMAR SAHA,Murshidabad,BJP,0,10th Pass,"Rs 1,15,70,047","Rs 18,15,197"
4489,NIRMAL KUMAR.A,Chennai North,IND,0,Post Graduate,"Rs 10,000",Rs 0
4490,NIRMAL SINGH,Bathinda,IND,0,10th Pass,"Rs 20,50,000","Rs 14,50,000"
4491,NIRMAL SINGH,Faridkot,IND,0,10th Pass,"Rs 8,000",Rs 0
4492,NIRMALA SHARMA,West Delhi,IND,6,Others,"Rs 33,90,353",Rs 0
4493,NIRMLA SHARMA,Kangra,RWS,0,10th Pass,"Rs 25,000",Rs 0
4494,NIRODE CHANDRA HALDER,Jaynagar,BJP,0,12th Pass,"Rs 13,96,000",Rs 0
4495,NIRUPABEN NATWERLAL BRAHMKSHTRIYA,Patan,IND,0,Graduate,"Rs 3,42,000",Rs 0
4496,NISAR AHMAD KHAN,Anantnag,BSP,0,12th Pass,"Rs 2,25,00,000",Rs 0
4497,NISAR AHMED,Faridabad,RND,0,5th Pass,"Rs 1,56,14,557",Rs 0
4498,NISHA,Kanpur,IND,0,10th Pass,"Rs 2,40,000",Rs 0
4499,NISHA BANO,New Delhi,ANC,0,Not Given,"Rs 10,40,000",Rs 0
4500,NISHAT KHAN,Kolkata Dakshin,IND,0,Graduate,"Rs 1,60,00,000","Rs 40,00,000"
4501,NISHIKANT DUBEY,Godda,BJP,0,Post Graduate,"Rs 10,10,37,987",Rs 0
4502,Nishikant Horo,Khunti,Jharkhand Party,0,Doctorate,"Rs 34,31,377",Rs 0
4503,NISHIKANTA BISWAS,Bangaon,IND,0,Post Graduate,"Rs 3,96,235",Rs 0
4504,NISSAR AHMAD AHANGAR,Srinagar,BSKRP,0,10th Pass,"Rs 20,000",Rs 0
4505,NITIMA BODRA BARI,Khunti,JKP(N),0,Graduate,"Rs 37,25,523",Rs 0
4506,NITIN DWIVEDI,Lucknow,IND,0,12th Pass,"Rs 1,35,893","Rs 4,11,346"
4507,NITINBHAI VRAJLAL BHATT,Porbandar,IND,1,8th Pass,"Rs 27,000","Rs 27,500"
4508,NITINKUMAR RAMCHANDRA KAMBLE ALIAS NITIN BANPURKAR,Solapur,IND,0,Post Graduate,"Rs 3,50,472","Rs 2,64,000"
4509,Nitu Jai,Darjeeling,IND,0,12th Pass,"Rs 40,50,000",Rs 0
4510,NITURE ARUN BHAURAO,Osmanabad,IND,0,Literate,"Rs 12,60,000","Rs 3,55,000"
4511,NITYA NAND BISHWAS,Araria,IND,0,Literate,"Rs 4,25,000",Rs 0
4512,NITYANAND,Agra,IND,0,Graduate,"Rs 15,30,000",Rs 0
4513,NITYANAND MANI TRIPATHI,Sant Kabir Nagar,IND,0,Post Graduate,"Rs 3,80,000",Rs 0
4514,Nityananda Jena,Bhadrak,BSP,0,12th Pass,"Rs 7,50,000",Rs 0
4515,Nityananda Pradhan,Aska,BJD,1,Post Graduate,"Rs 2,66,16,692","Rs 15,25,000"
4516,NOBAHAR SINGH,Nagina,IND,0,12th Pass,"Rs 64,00,000","Rs 3,00,000"
4517,Nogendra Chandra Das,Silchar,IND,0,12th Pass,"Rs 35,000",Rs 0
4518,Nomula Narsimhaiah,Bhongir,CPM,3,Post Graduate,"Rs 1,02,47,088",Rs 0
4519,NONGMAITHEM HOMENDRO SINGH,Inner Manipur,IND,0,Graduate,"Rs 5,20,000",Rs 0
4520,NOOKARAPU SURYA PRAKASA RAO,Anakapalle,TDP,0,Graduate,"Rs 11,97,26,600",Rs 0
4521,NOORMUHAMAD A,Coimbatore,IND,0,Literate,"Rs 1,01,07,600",Rs 0
4522,Nripendra Nath Ray,Coochbehar,AIFB,1,Graduate,"Rs 11,33,170",Rs 0
4523,Nubash Barman,Coochbehar,IND,0,12th Pass,"Rs 54,000",Rs 0
4524,NUNDEO MANJHI,Jamui,JVM(P),0,Graduate,"Rs 6,70,000",Rs 0
4525,NUR MAHAMMAD,Dhubri,IND,0,Graduate Professional,"Rs 5,76,834",Rs 0
4526,Nure Alam Chowdhury,Ghatal,AITC,0,Post Graduate,"Rs 10,29,00,000",Rs 0
4527,NUSRAT QUDDUSI ALIAS BABLOO,Faizabad,PECP,0,Not Given,"Rs 24,59,500","Rs 1,50,000"
4528,NUTHAKKI RAMA RAO,Bapatla,PRAP,0,Post Graduate,"Rs 3,28,25,159",Rs 0
4529,NYAZMIR KHAN,Balaghat,IND,0,5th Pass,"Rs 22,000",Rs 0
4530,O Venkata Krishna Prasad,Tirupati,IND,0,Doctorate,Rs 573,Rs 0
4531,OJHARAM EVANE,Betul,INC,0,Graduate,"Rs 65,60,000","Rs 8,03,000"
4532,OM BABU,Farrukhabad,JPS,0,Post Graduate,"Rs 8,10,000",Rs 0
4533,OM PARKASH,Garhwal,IND,0,8th Pass,"Rs 3,56,900",Rs 0
4534,OM PARKASH,Sonipat,BHC,0,10th Pass,"Rs 24,00,500","Rs 5,20,000"
4535,OM PRAKASH,Udaipur,Akhil Bharatiya Congress Dal (Ambedkar),1,8th Pass,"Rs 70,09,000",Rs 0
4536,OM PRAKASH,Bhilwara,IND,3,12th Pass,"Rs 40,000",Rs 0
4537,OM PRAKASH,Ganganagar,IND,0,Literate,"Rs 60,000",Rs 0
4538,OM PRAKASH,Karauli-Dholpur,IND,0,5th Pass,"Rs 6,10,000",Rs 0
4539,OM PRAKASH,Araria,IND,0,12th Pass,"Rs 14,52,313",Rs 0
4540,OM PRAKASH,Kaiserganj,IND,0,12th Pass,"Rs 3,00,000",Rs 0
4541,OM PRAKASH,Gonda,IND,1,8th Pass,"Rs 17,50,000",Rs 0
4542,OM PRAKASH,Basti,VAJP,0,12th Pass,"Rs 2,95,000",Rs 0
4543,OM PRAKASH,Misrikh,INC,0,Post Graduate,"Rs 1,68,16,822","Rs 33,98,143"
4544,OM PRAKASH,Jhanjharpur,IND,0,Graduate,"Rs 3,95,000","Rs 25,000"
4545,OM PRAKASH,Gorakhpur,IND,0,12th Pass,"Rs 18,10,000",Rs 0
4546,OM PRAKASH,Allahabad,RMSP,0,12th Pass,"Rs 1,00,000",Rs 0
4547,OM PRAKASH PASWAN,Jamui,LTSD,3,8th Pass,"Rs 39,50,000",Rs 0
4548,OM PRAKASH PODDAR,Katihar,BJJD,0,Doctorate,"Rs 50,000",Rs 0
4549,OM PRAKASH SINGH,Gonda,JPS,0,10th Pass,"Rs 88,90,000","Rs 8,00,000"
4550,OM PRAKASH SONI,Amritsar,INC,0,12th Pass,"Rs 3,80,78,662","Rs 6,33,727"
4551,OM PRAKASH THAKUR,Chandni Chowk,IND,0,Graduate,"Rs 7,45,000",Rs 0
4552,OM PRASASH,Tonk-Sawai Madhopur,JKNPP,0,10th Pass,"Rs 1,67,85,000",Rs 0
4553,OMANDRA KUMAR,Aonla,IND,0,Not Given,"Rs 6,00,000",Rs 0
4554,OMENDRA BHARAT,Kanpur,BPD,0,Post Graduate,"Rs 35,457",Rs 0
4555,OMKAR,Akbarpur,IND,0,Doctorate,"Rs 5,05,000",Rs 0
4556,OMKAR,Amethi,IND,0,Doctorate,"Rs 30,000",Rs 0
4557,OMPAL,Baghpat,IND,0,Graduate,"Rs 4,26,200",Rs 0
4558,OMPRAKASH CHATURVEDI,Maharajganj,IND,0,Not Given,"Rs 17,51,310","Rs 4,447"
4559,OMPRAKASH NARAYAN,Madhepura,CPI,8,Post Graduate,"Rs 14,07,320",Rs 0
4560,OmPrakashYadav,Siwan,IND,1,Graduate,"Rs 30,32,500",Rs 0
4561,ON MASUMI,Patna Sahib,LTSD,0,12th Pass,"Rs 3,75,000",Rs 0
4562,ONKAR SHAD,Mandi,CPM,1,Doctorate,"Rs 13,42,000","Rs 1,40,000"
4563,ONKAR SINGH,Satna,Akhil Bharatiya Hind Kranti Party,0,Literate,"Rs 51,85,000","Rs 17,000"
4564,Ontela Mondaiah,Warangal,PPOI,0,Post Graduate,"Rs 2,00,000",Rs 0
4565,P A Mohamed Riyas,Kozhikode,IND,0,Not Given,"Rs 3,500",Rs 0
4566,P C Biju,Alathur,IND,0,5th Pass,"Rs 1,01,155",Rs 0
4567,P C Chacko,Thrissur,INC,0,Post Graduate,"Rs 1,63,35,679",Rs 0
4568,P C Saju,Thrissur,IND,2,10th Pass,"Rs 5,000",Rs 0
4569,P Ganeswara Rao,Rajahmundry,IND,0,Post Graduate,"Rs 3,60,000",Rs 0
4570,P I Chandrasekharan,Kannur,IND,0,10th Pass,"Rs 26,93,500",Rs 0
4571,P J Kurian,Alappuzha,IND,0,Not Given,"Rs 20,82,215",Rs 0
4572,P K Biju,Alathur,CPM,0,Post Graduate,"Rs 4,61,000",Rs 0
4573,P K Krishnadas,Thiruvananthapuram,BJP,1,12th Pass,"Rs 15,52,129",Rs 0
4574,P K Mohammed,Ponnani,BSP,0,Graduate,"Rs 22,25,400","Rs 50,000"
4575,P KHASIM KHAN,Hindupur,INC,0,Graduate,"Rs 51,90,960","Rs 24,32,826"
4576,P M Velayudhan,Mavelikkara,BJP,0,10th Pass,"Rs 31,70,000","Rs 4,50,000"
4577,P Muhammed Riyas,Kozhikode,IND,0,10th Pass,"Rs 13,000",Rs 0
4578,P P Karunakaran master,Kannur,BJP,1,Graduate,"Rs 16,90,222",Rs 0
4579,P R Khunte,Raipur,CGVP,0,Others,"Rs 50,75,500",Rs 0
4580,P Rajendran,Kollam,CPM,0,Not Given,"Rs 33,72,008",Rs 0
