Sno,Candidate?,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
2293,Guru Dada Lokesh Maharaj,Durg,IND,0,Post Graduate,"Rs 9,76,000",Rs 0
2294,Gurudas Dasgupta,Ghatal,CPI,0,Post Graduate,"Rs 36,54,001",Rs 0
2295,GURUMURTHY S,Nilgiris,BJP,3,12th Pass,"Rs 22,35,500","Rs 6,65,000"
2296,GURUPADAGOUDA VENKANAGOUDA PATIL,Dharwad,IND,0,5th Pass,"Rs 11,82,15,000",Rs 0
2297,GURUSAMY P,Tiruvannamalai,IND,0,8th Pass,"Rs 5,17,115",Rs 0
2298,Gutha Sukender Reddy,Nalgonda,INC,0,12th Pass,"Rs 1,60,40,830","Rs 1,66,62,997"
2299,Guvvala Balaraj,Nagarkurnool,TRS,0,Graduate Professional,"Rs 2,27,69,600","Rs 95,60,000"
2300,GYAN TIWARI,Sitapur,BJP,1,Graduate,"Rs 1,31,39,861","Rs 8,97,000"
2301,H A Shivakumar,Bangalore North,IND,0,Post Graduate,"Rs 20,000",Rs 0
2302,H D KUMARA SWAMY,Bangalore Rural,JD(S),3,Graduate,"Rs 49,16,83,477","Rs 33,62,37,223"
2303,H K KENCHVEERAPPA HEBBALU,Davanagere,IND,0,10th Pass,"Rs 11,00,000",Rs 0
2304,H Pillaiah,Bangalore North,IND,0,8th Pass,Nil,Rs 0
2305,H S RAMANNA,Mandya,PPOI,0,12th Pass,"Rs 61,000",Rs 0
2306,H S SHEKARAPPA,Shimoga,IND,0,5th Pass,"Rs 26,76,000","Rs 5,00,000"
2307,H. D. Devegowda,Hassan,JD(S),0,Others,"Rs 1,96,24,664","Rs 64,99,000"
2308,H. ESWARAPPA BOVI,Davanagere,IND,0,Literate,"Rs 6,05,000",Rs 0
2309,H. NAGARAJ PALEGARA,Davanagere,IND,0,10th Pass,Nil,Rs 0
2310,H. V. Divakar,Gulbarga,IND,0,Graduate,"Rs 1,82,500","Rs 5,000"
2311,H.M. EHSANULLA PATEL,Davanagere,IND,0,8th Pass,"Rs 15,45,000","Rs 10,000"
2312,H.R.SHIVAKUMAR,Chikkballapur,IND,0,12th Pass,"Rs 43,13,000","Rs 2,20,000"
2313,H.T.Sangliana,Bangalore Central,INC,0,Graduate,"Rs 2,54,66,411",Rs 0
2314,HABIB SURUR,Khandwa,MUL,2,8th Pass,"Rs 15,24,345",Rs 0
2315,HABIBBHAI ISHABHAI SACHADA,Jamnagar,IND,1,Literate,"Rs 6,57,098",Rs 0
2316,Hadapad Basavaraj Dundappa,Uttara Kannada,BSP,0,12th Pass,"Rs 5,85,035",Rs 0
2317,HADTAL DAS,Kodarma,BSA,0,Not Given,"Rs 1,80,000",Rs 0
2318,HAFEEZ,Kaiserganj,AD,0,8th Pass,"Rs 18,80,000",Rs 0
2319,HAFFIZ ANWAR UL HAQ,Chandigarh,RJD,0,Graduate,"Rs 1,06,47,034","Rs 12,24,056"
2320,Haidar Bhati,Raipur,IND,0,8th Pass,"Rs 28,73,000",Rs 0
2321,HAJAEE SYID MUEEN UDDIN,Hoshangabad,SP,0,12th Pass,"Rs 11,27,989",Rs 0
2322,HAJARI LAL KOTIA (RATHOR),Guna,IND,0,Post Graduate,"Rs 86,600",Rs 0
2323,HAJI DILSHAD ALI,North East Delhi,BSP,2,12th Pass,"Rs 7,47,47,480","Rs 78,762"
